($ in millions),Fair Value Level3,,Valuation Technique (1),Significant Unobservable input (1),,Range of Inputs Positive (Negative),Weighted
"December 31,2021",,,,Default rate (3),,,
Loans held for sale (2),"$ 1,407",Discounted cash flow,,,0.2 0.6,78.3% 12.0,25.6
,,,Discount rate Loss severity,,,45.6,3.3
,,,Prepayment rate (4),,0.4,,4.8
Mortgage servicing rights (commercial),,Discounted cash flow,,,5.4,100.0,38.9
,567,,Cost to service per loan,$,150,"3,381","2,771"
,,,Discount rate,,4.0,4.5%,4.0
,,,Prepayment rate,,0.0,20.6,5.5
Nonmarketable equity securities,745,Market comparable pricing,Comparability adjustment,,(100.0),(33.0),(59.0)
,15,Market comparable pricing,Multiples,,2.0x,3.3x,2.8x
,175,Discounted cash flow,Discount rate,,10.5,10.5%,10.5
Other assets Total,,Discounted cash flow,,Discount rate,0.2,4.4,2.9
"December 31,2020","$ 2,914",,,,,,
Loans held for sale (2),"1,628",Discounted cash flow,,,0.3,85.5%,31.5
,,,Default rate (3) Discount rate,,0.6,11.9,3.0
,,,Loss severity,,0.4,45.0,8.1
,,,Prepayment rate (4),,8.3,100.0,42.5
,"1,317",Market comparable pricing,Comparability adjustment,,(11.6),(1.8),(3.1)
Mortgage servicing rights (commercial),510,Discounted cash flow,Cost to service per loan,$,150,"3,377","2,779"
,,,Discount rate,,1.9,1.9%,1.9
,,,Prepayment rate,,0.0-,20.0,5.4
Nonmarketable equity securities (5),844,Market comparable pricing,Multiples,,0.1x-,10.9x,5.0x
,188,Market comparable pricing,Comparability adjustment,,(100.0),(20.0)%,(61.4)
,76,Other,Company risk factor,,(100.0),(20.0),(57.7)
,91,Discounted cash flow,Discount rate,,10.0,20.0,11.5
,,,Company risk factor,,(62.6),0.0,
,,,Crude oil prices ($/barrel),$,42,48,(30.3)
,,,Natural gas prices ($/MMBtu),,2,2,47
Insignificant Level 3 assets,,19,,,,,2
Total,"$ 4,673",,,,,,
