,,,,,,2020,2020
(in millions),Commercial,Consumer,,Total,Commercial,Consumer,Total
"Balance,beginning of year","$ 11,516",,,"19,713","6,245","4,211","10,456"
Cumulative effect from change in accounting policies (1),,,1,1,"(2,861)","1,524","(1,337)"
Allowance for purchased credit-deteriorated (PCD) loans (2),,二,二,二,1,8,8
"Balance, beginning of year,adjusted",,"11,516","8,197","19,713","3,384","5,743","9,127"
Provision for credit losses,,"(3,373)",(834),"(4,207)","9,770","4,235","14,005"
Interest income on certain loans (3),,(58),(87),(145),(61),(92),(153)
Loan charge-offs,,(662),"(2,369)","(3,031)","(1,849)","(2,676)","(4,525)"
Loan recoveries,,367,"1,090","1,457",259,977,"1,236"
Net loan charge-offs,,(295),"(1,279)","(1,574)","(1,590)","(1,699)","(3,289)"
Other,,1,二,1,13,10,23
"Balance,end of year",$,"7,791","5,997","13,788","11,516","8,197","19,713"
