,"December31,2021","December31,2021","December31,2021","December31,2021","December 31,2020","December 31,2020","December 31,2020","December 31,2020"
($ in millions),Nonaccrual loans,Total portfolio,%of total loans,Total commitments (1),Nonaccrual loans,Total portfolio,%of total loans,Total commitments (1)
Financials except banks,104,"142,283",16%,"$ 236,435",$ 160,"117,726",13%,"206,999"
"Technology,telecom and media",64,"23,345",3,"63,551",144,"23,061",3,"56,500"
Real estate and construction,78,"25,035",3,"56,278",133,"23,113",3,"51,526"
"Equipment, machinery and parts manufacturing",24,"18,130",2,"43,778",81,"18,158",2,"41,332"
Retail,27,"17,645",2,"41,447",94,"17,393",2,"41,669"
Materials and commodities,32,"14,684",2,"36,704",39,"12,071",1,"33,879"
Food and beverage manufacturing,7,"13,242",1,"30,903",17,"12,401",1,"28,908"
Health care and pharmaceuticals,24,"12,847",1,"29,057",145,"15,322",2,"32,154"
"Oil, gas and pipelines",197,"8,828",*,"29,010",953,"10,471",1,"30,055"
Auto related,31,"10,629",1,"25,772",79,"11,817",1,"25,034"
Commercial services,78,"10,492",1,"24,804",107,"10,284",1,"24,442"
Utilities,77,"6,982",*,"22,428",2,"5,031",*,"18,564"
Diversified or miscellaneous,3,"7,493",*,"19,395",7,"5,437",*,"14,717"
Entertainment and recreation,23,"9,907",1,"17,943",263,9.884,1,"17,551"
Insurance and fiduciaries,1,"3,387",*,"17,521",2,"3,297",*,"14,334"
Banks,1,"16,178",2,"16,615",1,"12,789",1,"13,842"
Transportation services,288,"8,162",*,"14,775",573,"9,236",1,"15,531"
Agribusiness,35,"6,086",*,"11,701",81,"6,314",*,"11,642"
Government and education,5,"5,863",*,"11,358",9,"5,464",*,"11,065"
Other (2),30,"4,077",*,"20,112",68,"5,623",*,"23,315"
Total,"$ 1,128","365,295",41%,"769,587","$ 2,957","334,892",33%,"713,059"
