Group,Unweighted sample size,Weighted %,Plus or minus ...
Total sample,"5,109",,2.1 percentage points
Half sample,"At least 2,545",,3.0 percentage points
Rep/Lean Rep,"1,706",43,3.4 percentage points
Half sample,824,,4.8 percentage points
Dem/Lean Dem,"3,253",52,2.8 percentage points
Half sample,"At least 1,612",,3.9 percentage points
White,"1,886",62,2.8 percentage points
Black,,12,5.3 percentage points
Hispanic,938,17,5.1 percentage points
,"1,668",,
Asian*,352,6,8.9 percentage points
