Final dispositions,AAPOR code,Total
Completed interview,1.1,"5,109"
Logged onto survey; broke-off,2.12,85
Logged onto survey; did not complete any items,2.1121,38
Never logged on (implicit refusal),2.11,736
Survey completed after close of the field period,2.27,0
Completed interview but was removed for data quality,,2
Screened out,,0
Total panelists in the survey,,"5,970"
Completed interviews,一,"5,109"
Partial interviews Refusals,P,0
Non-contact,R,859
,NC,2
Other,0,0
Unknown household,UH,0
Unknown other,UO,0
Not eligible,NE,0
Total,,"5,970"
AAPOR RR1 =I/ (I+P+R+NC+O+UH+UO),,86%
