Ilinois (IL),,IL01
1.,Rockford,
2.,Quad Cities,IL02
3.,Peoria,IL03
4.,Springfield,IL04
5.,Decatur and Champaign,IL05
6.,Southern Illinois,IL06
7.,Chain of Lakes,IL07
8.,Northwest Suburbs,IL08
9.,North Shore,IL09
10.,Evanston and Skokie,IL10
11.,City of Chicago,IL11
12.,Western Suburbs,IL12
13.,South and Southwest Suburbs,IL13
Indiana (IN),Indiana (IN),
1.,"""The Region""",IN01
2.,Northwest Indiana,IN02
3.,South Bend and Elkhart,IN03
4.,Northeast Indiana,IN04
5.,West Central Indiana,IN05
6.,East Central Indiana,IN06
7.,Greater Indianapolis,IN07
8.,West Indiana,IN08
9.,South Central Indiana,IN09
10.,East Indiana,IN10
11.,Southwest Indiana,IN11
12.,Southeast Indiana,IN12
lowa (IA),lowa (IA),
1.,Cedar Rapids and Eastern Iowa,IA01
2.,Des Moines and Western Iowa,IA02
Kansas (KS),Kansas (KS),
1.,Kansas City and Topeka,KS01
2.,Wichita and Western Kansas,KS02
Michigan (MI),Michigan (MI),
1.,Wayne County,MI01
2.,Detroit's Northern Suburbs,MI02
3.,Ann Arbor,MI03
4.,Capital District,MI04
