Geographic Market Name,1.,2.,EPS Code
Alaska (AK),"Anchorage, Kenai, and Mat-su District",Greater Alaska,"AK01,AK02"
Arizona (AZ),Phoenix,Tucson,"AZ01,AZ02"
California (CA),Far Northern California,Valley of the Moon,"CA01,CA02"
,Sacramento County,CA03,
,Marin County,CA04,
,San Francisco County,CA05,
,Contra Costa County,CA06,
,City of Oakland,CA07,
,Alameda County excluding Oakland,CA08,
,San Mateo County,CA09,
,City of San Jose,CA10,
,Santa Clara County excluding San Jose,CA11,
,Central Coast,CA12,
,Santa Barbara and West Ventura Counties,CA13,
,San Fernando Valley (West),CA14,
,San Fernando Valley (East),CA15,
,Glendale and Pasadena,CA16,
,West Los Angeles and West Beach,CA17,
,Hollywood and Wilshire,CA18,
,East Los Angeles,CA19,
,South Bay,CA20,
,South and South Central Los Angeles,CA21,
,Long Beach,CA22,
,Covina and West Covina,CA23,
,Whittier and North Orange County,CA24,
,Anaheim,CA25,
,Santa Ana,CA26,
,"Riverside, San Bernardino, and Ontario",CA27,
,South Orange County,CA28,
,North San Diego County excluding San Diego,CA29,
,South San Diego County excluding San Diego,CA30,
,City of San Diego,CA31,
,Central Valley — North,CA32,
,Central Valley — South,CA33,
,Greater Imperial Valley,CA34,
