Geographic Market Name,,Code
Alaska (AK),Alaska (AK),Alaska (AK)
1.,"Anchorage, Kenai, and Mat-su District",AK01
2.,Greater Alaska,AK02
Arizona (AZ),Arizona (AZ),Arizona (AZ)
1.,Phoenix,AZ01
2.,Tucson,AZ02
3.,Northern Arizona,AZ03
California (CA),California (CA),California (CA)
1.,Far Northern California,CA01
2.,Valley of the Moon,CA02
3.,Sacramento County,CA03
4.,Marin County,CA04
5.,San Francisco County,CA05
6,Contra Costa County,CA06
7.,City of Oakland,CA07
8.,Alameda County excluding Oakland,CA08
9.,San Mateo County,CA09
10.,City of San Jose,CA10
11.,Santa Clara County excluding San Jose,CA11
12. 13.,Central Coast,CA12
,Santa Barbara and,
14.,West Ventura Counties,CA13 CA14
15.,San Fernando Valley (West),
16.,San Fernando Valley (East),CA15
17.,Glendale and Pasadena,CA16
,West Los Angeles and West Beach,CA17
18.,Hollywood and Wilshire,CA18
19.,East Los Angeles,CA19
20.,South Bay,CA20
21.,South and South Central Los Angeles,CA21
22.,Long Beach,CA22
23.,Covina and West Covina,CA23
24.,Whittier and North Orange County,CA24
25.,Anaheim,CA25
26.,Santa Ana,CA26
27.,"Riverside, San Bernardino,and Ontario",CA27
28.,South Orange County,CA28
29.,North San Diego County excluding San Diego,CA29
30.,South San Diego County,
31.,excluding San Diego City of San Diego,CA30 CA31
32.,Central Valley—North,CA32
33.,Central Valley— South,CA33
34.,Greater Imperial Valley,CA34
