State,Region,Code
Illinois,Rockford,IL01
Illinois,Quad Cities,IL02
Illinois,Peoria,IL03
Illinois,Springfield,IL04
Illinois,Decatur and Champaign,IL05
Illinois,Southern Illinois,IL06
Illinois,Chain of Lakes,IL07
Illinois,Northwest Suburbs,IL08
Illinois,North Shore,IL09
Illinois,Evanston and Skokie,IL10
Illinois,City of Chicago,IL11
Illinois,Western Suburbs,IL12
Illinois,South and Southwest Suburbs,IL13
Indiana,The Region,IN01
Indiana,Northwest Indiana,IN02
Indiana,South Bend and Elkhart,IN03
Indiana,Northeast Indiana,IN04
Indiana,West Central Indiana,IN05
Indiana,East Central Indiana,IN06
Indiana,Greater Indianapolis,IN07
Indiana,West Indiana,IN08
Indiana,South Central Indiana,IN09
Indiana,East Indiana,IN10
Indiana,Southwest Indiana,IN11
Indiana,Southeast Indiana,IN12
Iowa,Cedar Rapids and Eastern Iowa,IA01
Iowa,Des Moines and Western Iowa,IA02
Kansas,Kansas City and Topeka,KS01
Kansas,Wichita and Western Kansas,KS02
Michigan,Wayne County,MI01
Michigan,Detroit's Northern Suburbs,MI02
Michigan,Ann Arbor,MI03
Michigan,Capital District,MI04
