State,Region,Code
Minnesota (MN),Twin Cities,MN01
Minnesota (MN),Northern Minnesota,MN02
Missouri (MO),Kansas City and St. Joseph,MO01
Missouri (MO),St. Louis and Eastern Missouri,MO02
Missouri (MO),Springfield and Southern Missouri,MO03
Nebraska (NE),Lincoln,NE01
Nebraska (NE),Omaha,NE02
Nebraska (NE),Western Nebraska,NE03
North Dakota (ND),Fargo and Eastern North Dakota,ND01
North Dakota (ND),Western North Dakota,ND02
Ohio (OH),Northwest Ohio,OH01
Ohio (OH),North Central Ohio,OH02
Ohio (OH),City of Cleveland (West),OH03
Ohio (OH),City of Cleveland (East),OH04
Ohio (OH),"Cuyahoga, Geauga, and Lake Counties",OH05
Ohio (OH),Northeast Ohio,OH06
Ohio (OH),West Central Ohio,OH07
Ohio (OH),Central Ohio,OH08
Ohio (OH),Greater Cincinnati,OH09
Ohio (OH),Southeast Ohio,OH10
South Dakota (SD),Sioux Falls and Eastern South Dakota,SD01
South Dakota (SD),Western South Dakota,SD02
West Virginia (WV),Charleston and Huntington,WV01
West Virginia (WV),Northern West Virginia,WV02
Wisconsin (WI),Madison and Janesville,WI01
Wisconsin (WI),Milwaukee and Racine,WI02
Wisconsin (WI),Northern Wisconsin,WI03
