Geographic Market Name,1.,2.,EPS Code
Alaska (AK),"Anchorage, Kenai, and Mat-su District",Greater Alaska,"AK01,AK02"
Arizona (AZ),Phoenix,Tucson,"AZ01,AZ02"
California (CA),Far Northern California,Valley of the Moon,"CA01,CA02"
California (CA),,Sacramento County,CA03
California (CA),,Marin County,CA04
California (CA),,San Francisco County,CA05
California (CA),Contra Costa County,,CA06
California (CA),City of Oakland,,CA07
California (CA),Alameda County excluding Oakland,,CA08
California (CA),San Mateo County,,CA09
California (CA),City of San Jose,,CA10
California (CA),Santa Clara County excluding San Jose,,CA11
California (CA),Central Coast,,CA12
California (CA),Santa Barbara and West Ventura Counties,,CA13
California (CA),San Fernando Valley (West),,CA14
California (CA),San Fernando Valley (East),,CA15
California (CA),Glendale and Pasadena,,CA16
California (CA),West Los Angeles and West Beach,,CA17
California (CA),Hollywood and Wilshire,,CA18
California (CA),East Los Angeles,,CA19
California (CA),South Bay,,CA20
California (CA),South and South Central Los Angeles,,CA21
California (CA),Long Beach,,CA22
California (CA),Covina and West Covina,,CA23
California (CA),Whittier and North Orange County,,CA24
California (CA),Anaheim,,CA25
California (CA),Santa Ana,,CA26
California (CA),"Riverside, San Bernardino, and Ontario",,CA27
California (CA),South Orange County,,CA28
California (CA),North San Diego County excluding San Diego,,CA29
California (CA),South San Diego County excluding San Diego,,CA30
California (CA),City of San Diego,,CA31
California (CA),Central Valley — North,,CA32
California (CA),Central Valley — South,,CA33
California (CA),Greater Imperial Valley,,CA34
