Minnesota (MN),Minnesota (MN),Minnesota (MN)
1. Twin Cities,1. Twin Cities,1. Twin Cities
2.,Northern Minnesota,MN02
Missouri (MO),Missouri (MO),Missouri (MO)
1.,Kansas City and St. Joseph,MO01
2.,St.Louis and Eastern Missouri,MO02
3.,Springfield and Southern Missouri,MO03
Nebraska (NE),Nebraska (NE),Nebraska (NE)
1.,Lincoln,NE01
2.,Omaha,NE02
3.,Western Nebraska,NE03
North Dakota (ND),North Dakota (ND),North Dakota (ND)
1.,Fargo and Eastern North Dakota,ND01
2.,Western North Dakota,ND02
Ohio (OH),Ohio (OH),Ohio (OH)
1.,Northwest Ohio,OH01
2.,North Central Ohio,OH02
３4,City of Cleveland (West),OH03
,City of Cleveland (East),OH04
5,"Cuyahoga, Geauga,and Lake Counties",OH05
6.,Northeast Ohio,OH06
7.,West Central Ohio,OH07
8.,Central Ohio,OH08
9.,Greater Cincinnati,OH09
10.,Southeast Ohio,OH10
South Dakota (SD),South Dakota (SD),South Dakota (SD)
1.,Sioux Falls and Eastern South Dakota,SD01
2.,Western South Dakota,SD02
West Virginia (WV),West Virginia (WV),West Virginia (WV)
1.,Charleston and Huntington,WV01
2.,Northern West Virginia,WV02
Wisconsin (WI),Wisconsin (WI),Wisconsin (WI)
1.,Madison and Janesville,WI01
2.,Milwaukee and Racine,WI02
3.,Northern Wisconsin,WI03
