```csv
Exhibit Number,Description of Document
1.1,"The Sixth Amended and Restated Memorandum and Articles of Association of the Registrant, as currently in effect (incorporated herein by reference to Exhibit 3.2 to the registration statement on Form F-1 (File No. 333-227656), as amended, initially filed with the SEC on October 2, 2018)"
2.1,"Form of Registrant’s Specimen American Depositary Receipt (incorporated herein by reference to Exhibit 4.1 to the registration statement on Form F-1 (File No. 333-227656), as amended, initially filed with the SEC on October 2, 2018)"
2.2,"Registrant’s Specimen Certificate for Class A Ordinary Shares (incorporated herein by reference to Exhibit 4.2 to the registration statement on Form F-1 (File No. 333-227656), as amended, initially filed with the SEC on October 2, 2018)"
2.3,"Form of Deposit Agreement among the Registrant, the depository and holders of the American Depositary Shares (incorporated herein by reference to Exhibit (a) to the registration statement on Form F-6 (File No. 333-228610), as amended, initially filed with the SEC on November 30, 2018)"
2.4,"Description of Registrant’s American Depositary Shares and Class A ordinary shares (incorporated herein by reference to Exhibit 2.4 to the annual report for the fiscal year ended December 31, 2019 filed with the SEC on March 25, 2020)"
2.5,"Description of the Registrant’s US$300,000,000 1.375% Notes due 2025 and US$500,000,000 2.000% Notes due 2030 (incorporated herein by reference to (i) the section titled “Description of Debt Securities” in the Registrants’ registration statement on Form F-3 (File No. 333-248253) filed with the SEC on August 24, 2020 and (ii) the section titled “Description of the Notes” in the prospectus supplement, in the form filed by the Registrant with the SEC on August 27, 2020 pursuant to Rule 424(b) under the Securities Act of 1933, as amended)"
4.1,"Form of Indemnification Agreement between the Registrant and its directors and executive officers (incorporated herein by reference to Exhibit 10.1 to the registration statement on Form F-1 (File No. 333-227656), as amended, initially filed with the SEC on October 2, 2018)"
4.2,"Form of Employment Agreement between the Registrant and executive officers of the Registrant (incorporated herein by reference to Exhibit 10.2 to the registration statement on Form F-1 (File No. 333-227656), as amended, initially filed with the SEC on October 2, 2018)"
4.3,"The 2014 Share Incentive Plan (incorporated herein by reference to Exhibit 10.3 to the registration statement on Form F-1 (File No. 333-227656), as amended, initially filed with the SEC on October 2, 2018)"
4.4,"The 2017 Share Option Plan (incorporated herein by reference to Exhibit 10.4 to the registration statement on Form F-1 (File No. 333-227656), as amended, initially filed with the SEC on October 2, 2018)"
```
