Exhibit Number,Exhibit Description,Filed Herewith,Form,Period Ended,Filing Date,Incorporated by Reference
10.8.6**,"Sixth Amendment to Citi, N.A. Co-Branded Credit Card Agreement",,10-K,9/1/2019,10/11/2019,
10.8.7**,"Seventh Amendment to Citi, N.A. Co-Branded Credit Card Agreement",,10-Q,2/14/2021,3/10/2021,
21.1,Subsidiaries of the Company.,×,,,,
23.1,Consent of Independent Registered Public Accounting Firm,×,,,,
31.1,Rule 13a – 14(a) Certifications,×,,,,
32.1,Section 1350 Certifications,×,,,,
101.INS,Inline XBRL Instance Document,×,,,,
101.SCH,Inline XBRL Taxonomy Extension Schema Document,×,,,,
101.CAL,Inline XBRL Taxonomy Extension Calculation Linkbase Document,×,,,,
101.DEF,Inline XBRL Taxonomy Extension Definition Linkbase Document,×,,,,
101.LAB,Inline XBRL Taxonomy Extension Label Linkbase Document,×,,,,
101.PRE,Inline XBRL Taxonomy Extension Presentation Linkbase Document,×,,,,
104,Cover Page Interactive Data File (formatted as inline XBRL and contained in Exhibit 101),×,,,,
