Property and equipment, net\t2,172\t4,719\t21,807
United States Operations,Canadian Operations,Other International Operations,Total,
2021,,,,
Total revenue,$,"141,398","$,27,298,$,27,233,$,195,929",
Operating income,"4,262","1,176","1,270,6,708",
Depreciation and amortization,"1,339",177,"265,1,781",
Additions to property and equipment,"2,612",272,"704,3,588",
"Property and equipment, net","15,993","2,317","5,182,23,492",
Total assets,"39,589","5,962","13,717,59,268",
tsv,,,,
2019,2019,2019,2019,2019
Additions to property and equipment,"2,612",272,747,838
"Property and equipment, net","15,993","2,317","5,182","23,492"
Total assets,"39,589","5,962","13,717","59,268"
2020,2020,2020,2020,2020
Total revenue,"$122,142","$22,434","$22,185","$166,761"
Operating income,"3,633",860,942,"5,435"
Depreciation and amortization,"1,248",155,242,"1,645"
Additions to property and equipment,"2,060",258,492,"2,810"
"Property and equipment, net","14,916","2,172","4,719","21,807"
Total assets,"38,366","5,270","11,920","55,556"
Total assets\t38,366\t5,270\t11,920\t55,556
2019,,,,
Total revenue\t$111,751\t$21,366\t$19,586\t$152,703
Operating income\t3,063\t924\t750\t4,737,,
Depreciation and amortization\t1,126\t143\t223\t1,492,,
Additions to property and equipment\t2,186\t303\t509\t2,998,,
Property and equipment,net\t14,367\t2,044\t4,"479\t20,890"
Total assets\t32,162\t4,369\t8,869\t45,400
