Net Sales,$,2021,$,2020,$,2019
Increases in net sales:,U.S.,16 %,9 %,9 %,,
,Canada,22 %,5 %,3 %,,
,Other International,23 %,13 %,5 %,,
,Total Company,18 %,9 %,8 %,,
Increases in comparable sales:,U.S.,15 %,8 %,8 %,,
,Canada,20 %,5 %,2 %,,
,Other International,19 %,9 %,2 %,,
,Total Company,16 %,8 %,6 %,,
Increases in comparable sales excluding the impact of changes in foreign currency and gasoline prices(1):,U.S.,14 %,9 %,6 %,,
,Canada,12 %,7 %,5 %,,
,Other International,13 %,11 %,6 %,,
,Total Company,13 %,9 %,6 %,,
