Exhibit FiledNumber Exhibit Description Herewith,Exhibit FiledNumber Exhibit Description Herewith,Exhibit FiledNumber Exhibit Description Herewith,Exhibit FiledNumber Exhibit Description Herewith,Exhibit FiledNumber Exhibit Description Herewith,Exhibit FiledNumber Exhibit Description Herewith,,IncorporatedbyReference,IncorporatedbyReference,IncorporatedbyReference,IncorporatedbyReference,
Exhibit FiledNumber Exhibit Description Herewith,Exhibit FiledNumber Exhibit Description Herewith,Exhibit FiledNumber Exhibit Description Herewith,Exhibit FiledNumber Exhibit Description Herewith,Exhibit FiledNumber Exhibit Description Herewith,Exhibit FiledNumber Exhibit Description Herewith,Form,Period Ended Filing Date,Period Ended Filing Date,Period Ended Filing Date,Period Ended Filing Date,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,2019 Stock Incentive Plan Restricted Stock,2019 Stock Incentive Plan Restricted Stock,2019 Stock Incentive Plan Restricted Stock,2019 Stock Incentive Plan Restricted Stock,,10-Q,11/24/2019,11/24/2019,11/24/2019,12/23/2019,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Unit Award Agreement-Non-Executive Director,Unit Award Agreement-Non-Executive Director,Unit Award Agreement-Non-Executive Director,Unit Award Agreement-Non-Executive Director,,,,,,12/23/2019,12/23/201910/15/2020
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,2019 Stock Incentive Plan Letter Agreement for,2019 Stock Incentive Plan Letter Agreement for,2019 Stock Incentive Plan Letter Agreement for,2019 Stock Incentive Plan Letter Agreement for,,10-Q,11/24/2019,11/24/2019,11/24/2019,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,2020 Performance-Based Restricted Stock,2020 Performance-Based Restricted Stock,2020 Performance-Based Restricted Stock,2020 Performance-Based Restricted Stock,,,11/24/2019,11/24/2019,11/24/2019,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Units-Executive,Units-Executive,Units-Executive,Units-Executive,,,11/24/2019,11/24/2019,11/24/2019,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Fiscal 2021 Executive Bonus Plan,Fiscal 2021 Executive Bonus Plan,Fiscal 2021 Executive Bonus Plan,Fiscal 2021 Executive Bonus Plan,,8-K,,,,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"Executive Employment Agreement, effective","Executive Employment Agreement, effective","Executive Employment Agreement, effective","Executive Employment Agreement, effective",,10-Q,11/20/2016,11/20/2016,,12/16/201612/20/201812/23/2019,12/23/201910/15/2020
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"January_1,2017,betweenW. Craig_Jelinek and","January_1,2017,betweenW. Craig_Jelinek and","January_1,2017,betweenW. Craig_Jelinek and","January_1,2017,betweenW. Craig_Jelinek and",,,11/20/2016,11/20/2016,,12/16/201612/20/201812/23/2019,12/23/201910/15/2020
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,CostcoWholesale Corporation,CostcoWholesale Corporation,CostcoWholesale Corporation,CostcoWholesale Corporation,,,,,,12/16/201612/20/201812/23/2019,12/23/201910/15/2020
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,CostcoWholesale Corporation,CostcoWholesale Corporation,CostcoWholesale Corporation,CostcoWholesale Corporation,,10-Q,,,,12/16/201612/20/201812/23/2019,12/23/201910/15/2020
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Extension of the Term of the Executive,Extension of the Term of the Executive,Extension of the Term of the Executive,Extension of the Term of the Executive,,10-Q,,,,12/16/201612/20/201812/23/2019,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Extension of the Term of the Executive,Extension of the Term of the Executive,Extension of the Term of the Executive,Extension of the Term of the Executive,,10-Q,11/25/2018,11/25/2018,,12/16/201612/20/201812/23/2019,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"Employment Agreement,effectiveJanuary_1,","Employment Agreement,effectiveJanuary_1,","Employment Agreement,effectiveJanuary_1,","Employment Agreement,effectiveJanuary_1,",,,,,,12/16/201612/20/201812/23/2019,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"2019,between W. Craig Jelinek and Costco","2019,between W. Craig Jelinek and Costco","2019,between W. Craig Jelinek and Costco","2019,between W. Craig Jelinek and Costco",,,,,,12/16/201612/20/201812/23/2019,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"2019,between W. Craig Jelinek and Costco","2019,between W. Craig Jelinek and Costco","2019,between W. Craig Jelinek and Costco","2019,between W. Craig Jelinek and Costco",,,11/24/2019,11/24/2019,,12/16/201612/20/201812/23/2019,
