PART I,Business,Risk Factors,Unresolved Staff Comments,Properties,Legal Proceedings,Mine Safety Disclosures
Item 1.,Item 1.,,,,,
Item 2.,,Business Risk Factors,Unresolved Staff Comments,Properties,3-9-但但9担,
Item 3.,,Business Risk Factors,Unresolved Staff Comments,Properties,3-9-但但9担,
Item 4.,,Business Risk Factors,Unresolved Staff Comments,Properties,3-9-但但9担,
PART II,"Market for Registrant's Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",Reserved,Management's Discussion and Analysis of Financial Condition and Results of Operations,Quantitative and Qualitative Disclosures About Market Risk,Financial Statements and Supplementary Data,"Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,Controls and Procedures,Other Information"
Item 5.,,Reserved,Management's Discussion and Analysis of Financial Condition and Results of Operations,Quantitative and Qualitative Disclosures About Market Risk,Financial Statements and Supplementary Data,"65,65,66"
Item 6.,,Reserved,Management's Discussion and Analysis of Financial Condition and Results of Operations,Quantitative and Qualitative Disclosures About Market Risk,Financial Statements and Supplementary Data,"33,65,66"
Item 7.,,Reserved,Management's Discussion and Analysis of Financial Condition and Results of Operations,Quantitative and Qualitative Disclosures About Market Risk,Financial Statements and Supplementary Data,"33,65,66"
Item 7A.,,Reserved,Management's Discussion and Analysis of Financial Condition and Results of Operations,Quantitative and Qualitative Disclosures About Market Risk,Financial Statements and Supplementary Data,"33,65,66"
Item 8.,,Reserved,Management's Discussion and Analysis of Financial Condition and Results of Operations,Quantitative and Qualitative Disclosures About Market Risk,221231355,"33,65,66"
Item 9.,,Reserved,Management's Discussion and Analysis of Financial Condition and Results of Operations,Quantitative and Qualitative Disclosures About Market Risk,Changes in and Disagreements with Accountants on Accounting _and Financial Disclosure,"33,65,66"
Item 9A.,,Reserved,Management's Discussion and Analysis of Financial Condition and Results of Operations,Quantitative and Qualitative Disclosures About Market Risk,Controls and Procedures,"33,65,66"
Item 9B.,,Reserved,Management's Discussion and Analysis of Financial Condition and Results of Operations,Quantitative and Qualitative Disclosures About Market Risk,Other Information,"33,65,66"
PART III,"Directors, Executive Officers and Corporate Governance",Executive Compensation,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,"Certain Relationships and Related Transactions, and Director Independence",Principal Accounting Fees and Services,
Item 10.,,"Directors, Executive Oficers and Corporate Governance",Executive Compensation,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,66,
Item 11.,,"Directors, Executive Oficers and Corporate Governance",Executive Compensation,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,66,
Item 12.,,"Directors, Executive Oficers and Corporate Governance",Executive Compensation,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,66,
Item 13.,,"Directors, Executive Oficers and Corporate Governance",Executive Compensation,"Certain Relationships and Related Transactions,and Director Independence",66,
Item 14.,,"Directors, Executive Oficers and Corporate Governance",Executive Compensation,"Certain Relationships and Related Transactions,and Director Independence",Principal Accounting Fees and Services,
PART IV,"Exhibits, Financial Statement Schedules",Form 10-K Summary,Signatures,,,
Item 15.,,66,69,70,,
Item 16.,,66,69,70,,
