Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),
Year Opened,#of Whses,,,,,,,,,$,140
2021,20,,,,,,,,$,132,152
2020 2019,13 20,,,,,,,$,129,138,172
2018,,,,,,,$,116,119,141,172
2017,,,,,,$,121,142,158,176,206
,,,,,$,87,97,118,131,145,173
2016,29 23,,,,,,,112,122,136,
2015 2014,,,$,$ 108,83 109,85 115,94 125,140,144,155,163 182
2013,30 26,$,99,109,113,116,124,137,144,158,186
2012& Before,607$,155,163,169,170,169,175,188,195,205,232
Totals,815,155,160,164,162,159,163,176,182,192,217
,,,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,2012,,,,Fiscal Year,,,,,
*First year sales annualized. 2017 wasa 53-week fiscal year,,,,,,,,,,,
