PART I,Business,Risk Factors,Unresolved Staff Comments,Properties,Legal Proceedings,Mine Safety Disclosures
Item 1.,3,9,19,19,19,19
Item 2.,,20,21,22,31,33
Item 3.,,20,21,22,31,33
Item 4.,,20,21,22,31,33
PART II,"Market for Registrant's Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",Reserved,Management's Discussion and Analysis of Financial Condition and Results of Operations,Quantitative and Qualitative Disclosures About Market Risk,Financial Statements and Supplementary Data,"Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,Controls and Procedures,Other Information"
Item 5.,20,21,22,31,33,"65,65,66"
Item 6.,,20,21,22,31,"33,65,66"
Item 7.,,20,21,22,31,"33,65,66"
Item 7A.,,20,21,22,31,"33,65,66"
Item 8.,,20,21,22,31,"33,65,66"
Item 9.,,20,21,22,31,"33,65,66"
Item 9A.,,20,21,22,31,"33,65,66"
Item 9B.,,20,21,22,31,"33,65,66"
PART III,"Directors, Executive Officers and Corporate Governance",Executive Compensation,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,"Certain Relationships and Related Transactions, and Director Independence",Principal Accounting Fees and Services,
Item 10.,66,66,66,66,66,
Item 11.,66,66,66,66,66,
Item 12.,66,66,66,66,66,
Item 13.,66,66,66,66,66,
Item 14.,66,66,66,66,66,
PART IV,"Exhibits, Financial Statement Schedules",Form 10-K Summary,Signatures,,,
Item 15.,66,69,70,,,
Item 16.,66,69,70,,,
