Year Opened,# of Whses,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
2021,20,$140,$132,$152,$129,$138,$172,$116,$119,$141,"$172,$140"
2020,13,$132,$152,$129,$138,$172,$116,$119,$141,$172,$140
2019,20,$132,$152,$129,$138,$172,$116,$119,$141,$172,$140
2018,21,$132,$152,$129,$138,$172,$116,$119,$141,$172,$140
2017,26,$132,$152,$129,$138,$172,$116,$119,$141,$172,$140
2016,29,$132,$152,$129,$138,$172,$116,$119,$141,$172,$140
2015,23,$132,$152,$129,$138,$172,$116,$119,$141,$172,$140
2014,30,$132,$152,$129,$138,$172,$116,$119,$141,$172,$140
2013,26,$132,$152,$129,$138,$172,$116,$119,$141,$172,$140
2012 & Before,607,$155,$163,$169,$170,$169,$175,$188,$195,$205,$232
Totals,815,$155,$160,$164,$162,$159,$163,$176,$182,$192,$217
