2021,2.300% Senior Notes due May 2022,800,800,,,
2021,2.750% Senior Notes due May 2024,"1,000","1,000",,,
2021,3.000% Senior Notes due May 2027,"1,000","1,000",,,
2021,1.375% Senior Notes due June 2027,"1,250","1,250",,,
2021,1.600% Senior Notes due April 2030,"1,750","1,750",,,
2021,1.750% Senior Notes due April 2032,"1,000","1,000",,,
2021,Other long-term debt,731,857,,,
2021,Total long-term debt,"7,531","7,657",,,
2021,Less unamortized debt discounts and issuance costs,40,48,,,
2021,Less current portion(1),799,95,,,
2021,"Long-term debt, excluding current portion","6,692","7,514",,,
2020,2.300% Senior Notes due May 2022,800,800,,,
2020,2.750% Senior Notes due May 2024,"1,000","1,000",,,
2020,3.000% Senior Notes due May 2027,"1,000","1,000",,,
2020,1.375% Senior Notes due June 2027,"1,250","1,250",,,
2020,1.600% Senior Notes due April 2030,"1,750","1,750",,,
2020,1.750% Senior Notes due April 2032,"1,000","1,000",,,
2020,Other long-term debt,857,731,,,
2020,Total long-term debt,"7,657","7,531",,,
2020,Less unamortized debt discounts and issuance costs,48,40,,,
2020,Less current portion(1),95,799,,,
2020,"Long-term debt, excluding current portion","7,514","6,692",,,
