2021:,Cost Basis,"Unrealized Gains, Net",Recorded Basis
2021\tAvailable-for-sale:\tCost\tBasis\tUnrealized\tGains,\tNet\tRecorded\tBasis,,
2021\tAvailable-for-sale:\tGovernment\tand\tagency\tsecurities\t$375\t$6\t$381,,,
2021\tHeld-to-maturity:\tCertificates\tof\tdeposit\t$536\t-\t$536,,,
2021\tTotal\tshort-term\tinvestments\t$911\t$6\t$917,,,
Certificates of deposit,536,,536
Total short-term investments,911,6,917
2020:,Cost Basis,"Unrealized Gains, Net",Recorded Basis
Available-for-sale:,Government and agency securities,436,"12,448"
Held-to-maturity:,,,"12,448"
Available-for-sale:,,,
Government and agency securities\t$436\t$12\t$448,,,
Held-to-maturity:,,,
Certificates of deposit\t$580\t\t$580,,,
Total short-term investments\t$1,016\t$12\t$1,028,
