,Common Stock,Common Stock,Additional Paid-in,Accumulated Other Comprehensive,Accumulated Other Comprehensive,Total Costco Stockholders' Equity,Noncontrolling Interests,Total Equity
,Shares (000's),Amount,Additional Paid-in,Capital,Retained Income(Loss),Total Costco Stockholders' Equity,Noncontrolling Interests,Total Equity
"BALANCE AT SEPTEMBER 2, 2018","438,189 $",4,"$ 6,107",$,"Earnings (1,199) $ 7,887","$ 12,799",$,"304$ 13,103"
Net income Foreign-currency translation,,,,,"3,659","3,659",45,"3,704"
Net income Foreign-currency translation,,,,(237),,(237),(8),(245)
"adjustment and other, net Stock-based compensation",,,598,,,598,1,598
Release of vested restricted stock,,,,,,,,
"units(RSUs),includingt effects","2,533",,(272),,,(272),,(272)
Repurchases of common stock,"(1,097)",,(16),,(231),(247),,(247)
Cash dividends declared and other,,,,,(1.057),(1.057),,"(1,057)"
"BALANCE AT SEPTEMBER 1, 2019","439,625",4,"6,417","(1,436)","10,258","15,243",341,"15,584"
Net income,,,,,"4,002","4,002",57,"4,059"
"Foreign-currency translation adjustment and other, net",,,,139,,139,23,162
Stock-based compensation,,,621,,,621,,621
"Release of vested RSUs, including",2.273,,,,,,,
tax effects Repurchases of common stock,(643),,(330) (10),,(188),(330) (198),,(330)
Cash dividends declared,,,,,"(1,193)","(1,193)",,"(198) (1,193)"
"BALANCE AT AUGUST 30, 2020","441,255",4,"6,698","(1,297)","12,879","18,284",421,"18,705"
Net income,,,,,5.007,5.007,72,"5,079"
Foreign-currency translation,,,,,,,,
"adjustment and other, net Stock-based compensation",,,668,160,,160 668,21,181
"Release of vested RSUs, including",,,,,,,1,668
tax effects,"1,928",,(312),,,(312),,(312)
Repurchases of common stock,"(1,358)",,(23),,(472),(495),,(495)
Cash dividends declared,$,,,,"(5,748) 11,666","(5,748) $",,"(5,748)"
"BALANCE AT AUGUST 29,2021","441,825",4,"$ 7,031","$ (1,137)$",,"$ 17,564",,514$ 18.078
