PARTI,PARTI,Page
Item 1.,Item 1.,
Item 1A.,Business Risk Factors,
Item 1B.,Unresolved Staff Comments,
Item 2.,Properties,
Item 3.,Legal Proceedings,3-9-但但9担
Item 4.,Mine Safety Disclosures,
PART II,PART II,
Item 5.,Item 5.,
,"Market for Registrant's Common Equity,Related Stockholder Matters and Issuer Purchases of Equity. Securities",
Item 6.,Reserved,
Item 7.,Management's Discussion and Analysis of Financial Condition and Results of Operations,
Item 7A.,Quantitative and Qualitative Disclosures About Market Risk,
Item 8.,Financial Statements and Supplementary Data,221231355
Item 9.,Changes in and Disagreements with Accountants on Accounting _and Financial Disclosure,
Item 9A. Item 9B.,Controls and Procedures,
,Other Information,
PART II,PART II,
Item 10.,"Directors, Executive Oficers and Corporate Governance",
Item 11.,Executive Compensation,
Item 12.,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,66
Item 13.,"Certain Relationships and Related Transactions,and Director Independence",
Item 14.,Principal Accounting Fees and Services,
PART IV,PART IV,
Item 15.,"Exhibits,Financial Statement Schedules",
Item 16.,Form 10-K Summary.,
,Signatures,
