Method,Common,Fine-Grained,Average
GPT-4V,62.0,70.6,68.4
RAR (LLaVA1.5),73.4,95.6,"81.0,+11.4,+25.0,+12.6"
RAR (Intern-IXC2),71.5,94.4,"79.0,+9.5,+22.6,+10.6"
RAR (Qwen-VL),75.8,97.5,"82.6,+13.8,+26.9,+14.2"
RAV (LLaVA1.5),73.8,72.6,"81.0,-0.9,+14.3,-12.7"
RAV (Intern-IXC2),72.7,65.4,"79.3,-1.1,+7.1,-13.3"
RAV (Qwen-VL),66.0,81.6,"88.1,+7.5,+23.3,-4.5"
RAV (LLaVA1.5),70.6,86.2,"81.0,+12.9,+14.3,-12.7"
RAV (Intern-IXC2),69.7,83.9,"79.0,+12.0,+55.5,-10.8"
RAV (Qwen-VL),72.7,87.2,"82.6,+5.0,+54.5,+13.4"
RAV (LLaVA1.5),36.2,79.1,"68.4,+57.1,-2.5"
RAV (Intern-IXC2),91.7,69.9,"79.0,+55.5,+10.8,-4.0"
RAV (Qwen-VL),90.7,81.4,"82.6,+54.5,+13.4,-0.2"
RAV (LLaVA1.5),57.7,79.9,"81.0,+12.9,-12.7"
RAV (Intern-IXC2),69.7,79.3,"79.0,+12.0,-10.8"
RAV (Qwen-VL),72.5,88.1,"82.6,+13.4,-4.5"
RAV (LLaVA1.5),59.1,79.1,"68.4,+12.8,-2.5"
RAV (Intern-IXC2),69.9,79.0,"+10.8,-4.0"
RAV (Qwen-VL),81.4,82.6,-0.2
RAV (LLaVA1.5),81.6,79.9,-12.7
RAV (Intern-IXC2),79.3,-10.8,
RAV (Qwen-VL),82.6,-0.2,
