Settings,Dataset,Categories,Evaluation Metrics,Source link
Fine-Grained Visual Recog.,Bird-200,200,"cACC, sACC",Bird website
,Car-196,196,"cACC, sACC",Kaggle
,Dog-120,120,"cACC, sACC",Tensorflow
,Flower-102,102,"cACC, sACC",Tensorflow
,Pet-37,37,"cACC, sACC",Tensorflow
Few-Shot Image Recog.,RAF-DB,7,Accuracy,RAF-DB website
,Eurosat,10,Accuracy,Tensorflow
,DTD,47,Accuracy,Tensorflow
,FGVC Aircraft,100,Accuracy,FGVC website
,Caltech101,101,Accuracy,Tensorflow
,Food101,101,Accuracy,Tensorflow
,UCF-101,101,Accuracy,Tensorflow
,SUN397,397,Accuracy,Tensorflow
,ImageNet,1000,Accuracy,Tensorflow
Zero-Shot Region Recog.,LVIS,1203,mAP,LVIS website
,V3Det,13204,mAP,Github
