Country,Law,Citation,Comment
,"dispose of, export, traffic or alter in any way the aforementioned or similar objects.",,
Guinea,"Offenses of disturbing worship, freedom of religion, and religious assemblies; profaning religious objects or places; offending or assaulting religious ministers in their functions; provoking acts of intolerance between people of different religions, are punishable by a jail sentence of up to two years and/or a fine up to 1,000,000 Guinean Francs (approximately US$110).","Penal Code arts. 693-697, https://www.refworld.org/docid/44a3eb9a4.html [https://perma.cc/6FD3-LD4P].",
Kiribati,Offenses of insult to religion of any class; disturbing religious assemblies; trespassing on burial places; hindering burial of dead body etc.; and writing or uttering words with intent to wound religious feelings.,"Penal Code (Cap. 67, rev. ed. 1977) pt XV (ss 123-127), http://paclii.org/ki/legis/consol_act/pc66/ [https://perma.cc/N4QU-XPBY].","There have been subsequent amendments to the code, but the relevant provisions do not appear to have been amended."
Monaco,"Offenses of disturbing worship, freedom of religion, and religious assemblies; profaning religious objects; offending or assaulting religious ministers in their functions, are punishable by a jail sentence of up to six months and/or a fine up to 9,000 euros (approximately US$9,600). Assaulting a religious minister may result in loss of civil rights.","Penal Code arts. 205-208, https://legimonaco.mc/code/code-penal/#KKZcoagjdQdRpdSsDePVCd [https://perma.cc/CQE3-3MPJ].",
Portugal,"Outrage on the grounds of religious belief - Whoever publicly offends another person or mocks him on the grounds of his belief or religious role, in an appropriate way to disturb public peace, is punished with imprisonment for up to one year or a fine.","Código Penal, Decreto-Lei No. 48/95, de 15 de Março, as amended by Lei No. 2/2023, de 16 de Janeiro, art. 251 (1), https://www.pgdlisboa.pt/leis/lei_mostra_articulado.php?nid=109&tabela=leis [https://perma.cc/BY4V-RM8A].","There have been subsequent amendments to the code, but the relevant provisions do not appear to have been amended."
Senegal,"Offenses of disturbing worship, freedom of religion, and religious assemblies; profaning religious objects or places; offending or assaulting religious ministers in their functions, are punishable by a jail sentence of up to five years and/or a fine up to 100,000 CFA Francs (approximately US$160).","Penal Code arts. 230-233bis, https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/70562/85594/F-2143944421/SEN-70562.pdf [https://perma.cc/H6L6-ZYTX].",
Slovakia,"Article 423 of the Slovak Criminal Code prohibits defamation of a group of individuals or an individual due to their real or perceived affiliation to a religion or lack of religion, nation, nationality, or ethnic group. The penalty is imprisonment for one to three years. If the act is committed by a member of an extremist group, a public official, or with special motives, the penalty is imprisonment for two to five years.","Criminal Code of the Republic of Slovakia, adopted on May 20, 2005, version of Feb. 1, 2023, 300/2005 Coll. - Criminal Code - SLOV-LEX (in Slovak), [https://perma.cc/AV3P-WZHZ].",
Solomon Islands,Offenses of insult to religion of any class; disturbing religious assemblies; trespassing on burial places; hindering burial of dead body etc.; and writing or uttering words with intent to wound religious feelings.,"Penal Code (Cap. 26, rev. ed. 1996) pt XV (ss 131-135), http://www.paclii.org/sb/legis/consol_act/pc66 [https://perma.cc/CE7B-SMVU].","There have been subsequent amendments to the code, but the relevant provisions do not appear to have been amended."
Tuvalu,Offenses of insult to religion of any class; disturbing religious assemblies; trespassing on burial places; hindering burial of dead body etc.; and writing or uttering words with intent to wound religious feelings.,"Penal Code (Cap. 10.20, rev. ed. 2008) pt XV (ss 123-127), https://tuvalu-legislation.tv/cms/images/LEGISLATION/PRINCIPAL/1965/1965-0007/PenalCode_1.pdf [https://perma.cc/RR3L-F7FH].","There have been subsequent amendments to the code, but the relevant provisions do not appear to have been amended."
Uganda,"The Ugandan Penal Code Act includes a chapter titled 'Offences relating to religion': Any person who destroys, damages or defiles any place of worship or any object which is held sacred by any class of persons, with the intention of thereby insulting the religion of any class of persons, or with the knowledge that any class of persons is likely to consider such destruction, damage or defilement as an insult to its religion, commits a misdemeanour.","Penal Code Act, SS 211-214 (June 15, 1950, as amended through 2014), https://perma.cc/X7EW-YE8V.",
