Country,Law,Citation,Comment
,"dispose of, export, trafic or alter in any way theaforementioned orsimilar objects.",,
Guinea,"Offenses of disturbingworship, freedom ofreligion, and religious assemblies; profaningreligious objects orplaces; offending or assaulting religiousministers in theirfunctions; provoking actsof intolerance between people of different religions, are punishableby a jail sentence of up totwo years and/or a fineup to 1,000,000 GuineanFrancs (approximatelyUS$110).","Penal Code arts. 693-697,https:/ /www.refworld.org/docid/44a3eb9a4.htm[https:/ /perma.cc/6FD3-LD4P].",
Kiribati,Offenses of insult toreligion of any class;disturbing religiousassemblies; trespassing on burial places;hindering burial of deadbody etc.; and writing oruttering words with intent to wound religiousfeelings.,"Penal Code (Cap. 67, rev.ed.1977) pt XV (ss 123-127),http://paclii.org/ki/legis/consol_act/ pc66/[https:/ /perma.cc/N4QU-XPBY].","There have beensubsequentamendments to thecode,but the relevant provisions do not appear to have beenamended."
Monaco,"Offenses of disturbingworship, freedom ofreligion, and religious assemblies; profaningreligious objects;offending or assaultingreligious ministers intheir functions, are punishable by a jail sentence of up to six months and/or a fine upto 9,000 euros(approximatelyUS$9,600). Assaulting a","Penal Code arts. 205-208,https:/ /legimonaco.mc/code/code-penal/ #KKZcoagjdQdRpdSsDePVCd[https:/ /perma.cc/CQE3-3MPJ]",
,religious minister mayresult in loss of civilrights.,,
Portugal,"Outrage on the groundsof religious belief -Whoever publiclyoffends another personor mocks him on the grounds of his belief orreligious role, in an appropriate way todisturb public peace, ispunished with imprisonment for up toone year or a fine.","C6digo Penal, DecretoLei No. 48/95, de 15 de Marco, as amended byLei No. 2/2023, de 16 deJaneiro, art. 251 (1),https:/ /www.pgdlisboa.pt/leis/lei_mostra_articulado.php?nid=109&tabela=leis[https:/ / perma.cc/BY4V-RM8A].","There have beensubsequent amendments to thecode,but the relevant provisions do not appear to have been amended."
Senegal,"Offenses of disturbingworship, freedom ofreligion, and religiousassemblies; profaningreligious objects orplaces; offending orassaulting religiousministers in theirfunctions,are punishableby a jail sentence of up tofive years and/or a fineup to 100,000 CFA Francs(approximately US$160).","Penal Code arts. 230-233bis,https:/ / www.ilo.org/dyn/natlex/docs/ELECTRONIC/70562/85594/F-2143944421/SEN-70562.pdf[https:/ / perma.cc/H6L6-ZYTX].",
Slovakia,"Article 423 of the SlovakCriminal Code prohibitsdefamation of a group ofindividuals or anindividual due to theirreal or perceivedaffiliation to a religion orlack of religion, nation,nationality, or ethnicgroup.The penalty isimprisonment for one tothree years. If the act iscommitted by a memberof an extremist group, apublic official, or with","Criminal Code of theRepublic of Slovakia,adopted on May 20,2005,version of Feb.1,2023,300/2005 Coll. -Criminal Code - SLOV-LEX (in Slovak),[https:/ / perma.cc/AV3P-WZHZ].",
,"special motives, thepenalty is imprisonmentfor two to five years.",,
,"Under the MediaServices Act S 48(1b, avideo-sharing platform provider must take appropriate protectionmeasures to avoiddisseminating user- generated videos andmedia commercial communications thatpromote violence orincite violence or hatred,or disparage or defame in an open or hidden","Law on Media Servicesand Amendments toCertain Legal Acts(Media Services Act),June 22, 2022, temporaryversion of the regulationeffective from Jan. 1,2023, to June 27,2025,https:/ / www.slov-lex.sk/ pravne-predpisy/SK/ZZ/2022/264/20230101 (inSlovak),[https:/ /perma.cc/SBK7-M7VT].",
,"form, on grounds ofbelief and religion.Under S 61(lc), a content service provided by abroadcastingorganization or an on-demand audiovisualmedia service providermust respect humandignity, in particular, itmust not promoteviolence or hatred, inopen or hidden form, ordisparage or defame on grounds of belief andreligion.Under S 99, thebroadcasting of politicalpromotions orannouncements promoting religion or","Law on Media Servicesand Amendments toCertain Legal Acts(Media Services Act),June 22, 2022, temporaryversion of the regulationeffective from Jan. 1,2023, to June 27,2025,https:/ / www.slov-lex.sk/ pravne-predpisy/SK/ZZ/2022/264/20230101 (inSlovak),[https:/ /perma.cc/SBK7-M7VT].",
,"atheism is prohibited,unless a special regulation providesotherwise.","Law on Media Servicesand Amendments toCertain Legal Acts(Media Services Act),June 22, 2022, temporaryversion of the regulationeffective from Jan. 1,2023, to June 27,2025,https:/ / www.slov-lex.sk/ pravne-predpisy/SK/ZZ/2022/264/20230101 (inSlovak),[https:/ /perma.cc/SBK7-M7VT].",
SolomonIslands,Offenses of insult toreligion of any class;disturbing religious assemblies; trespassing on burial places;hindering burial of deadbody etc.; and writing oruttering words with intent to wound religiousfeelings.,"Penal Code (Cap. 26, rev.ed.1996) pt XV (ss 131-135),http:/ / www.paclii.org/ sb/legis/consol_act/ pc66[https:/ /perma.cc/CE7B-SMVU].","There have been subsequentamendments to thecode,but the relevant provisions do not appear to have been amended."
Tuvalu,"Offenses of insult toreligion of any class;disturbing religious assemblies; trespassingon burial places;hindering burial of deadbody, etc.; and writing oruttering words with intent to wound religiousfeelings.","Penal Code (Cap. 10.20,rev. ed. 2008) pt XV (ss123-127), https:/ /tuvalu-legislation.tv/cms/images/LEGISLATION/PRINCIPAL/1965/1965-0007/PenalCode_1.pdf[https:/ /perma.cc/RR3L-F7FH].","There have beensubsequentamendments to thecode,but the relevant provisions do not appear to have beenamended."
Uganda,"The Ugandan PenalCode Act includes achapter titled ""Offencesrelating to religion"":"" Any person whodestroys, damages ordefiles any place of worship or any objectwhich is held sacredby any class ofpersons, with theintention of thereby insulting the religionof any class of persons, or with theknowledge that anyclass of persons islikely to consider such destruction,damage ordefilement as an insult to its religion,commits a misdemeanour.""","Penal Code Act, SS 22,118-122 (June 15, 1950,asamended through 2014),https:/ / perma.cc/X7EW-YE8V.",
