Country,Law,Law,Law,Law,Law,Law,Citation,Comment,,,,,,
Bahamas,"S 321.Whoever publishes, sells, or offers for sale any blasphemous or obscene book, writing or representation, shall be liable to imprisonment for two years: Provided that no one shall be convicted under this section for publishing any opinion on religious subjects expressed in good faith and in decent language, or for attempting to establish by arguments used in good faith and conveyed in decent language any opinion on a religious subject. (1) if the matter published is in fact a fair report of anything said, done or shown in a civil or criminal inquiry or proceeding before any court or commission of inquiry:","S 321.Whoever publishes, sells, or offers for sale any blasphemous or obscene book, writing or representation, shall be liable to imprisonment for two years: Provided that no one shall be convicted under this section for publishing any opinion on religious subjects expressed in good faith and in decent language, or for attempting to establish by arguments used in good faith and conveyed in decent language any opinion on a religious subject. (1) if the matter published is in fact a fair report of anything said, done or shown in a civil or criminal inquiry or proceeding before any court or commission of inquiry:","S 321.Whoever publishes, sells, or offers for sale any blasphemous or obscene book, writing or representation, shall be liable to imprisonment for two years: Provided that no one shall be convicted under this section for publishing any opinion on religious subjects expressed in good faith and in decent language, or for attempting to establish by arguments used in good faith and conveyed in decent language any opinion on a religious subject. (1) if the matter published is in fact a fair report of anything said, done or shown in a civil or criminal inquiry or proceeding before any court or commission of inquiry:","S 321.Whoever publishes, sells, or offers for sale any blasphemous or obscene book, writing or representation, shall be liable to imprisonment for two years: Provided that no one shall be convicted under this section for publishing any opinion on religious subjects expressed in good faith and in decent language, or for attempting to establish by arguments used in good faith and conveyed in decent language any opinion on a religious subject. (1) if the matter published is in fact a fair report of anything said, done or shown in a civil or criminal inquiry or proceeding before any court or commission of inquiry:","S 321.Whoever publishes, sells, or offers for sale any blasphemous or obscene book, writing or representation, shall be liable to imprisonment for two years: Provided that no one shall be convicted under this section for publishing any opinion on religious subjects expressed in good faith and in decent language, or for attempting to establish by arguments used in good faith and conveyed in decent language any opinion on a religious subject. (1) if the matter published is in fact a fair report of anything said, done or shown in a civil or criminal inquiry or proceeding before any court or commission of inquiry:","S 321.Whoever publishes, sells, or offers for sale any blasphemous or obscene book, writing or representation, shall be liable to imprisonment for two years: Provided that no one shall be convicted under this section for publishing any opinion on religious subjects expressed in good faith and in decent language, or for attempting to establish by arguments used in good faith and conveyed in decent language any opinion on a religious subject. (1) if the matter published is in fact a fair report of anything said, done or shown in a civil or criminal inquiry or proceeding before any court or commission of inquiry:","Penal Code, ch. 84, Statute Law of the Bahamas,2010, ss 321, 489, https:/ /perma.cc/8QQH -W8DQ.","Typically unenforced according to US State Department's 2022 Report on International Religious Freedom: The Bahamas, https:/ /perma.cc/5Y K7-3TQE.",,,,,,
Country,Law,Law,Law,Law,Law,Law,Citation,Comment,,,,,,
,"Provided that if the courtor commissionersprohibit the publicationof anything said orshown before it, on the ground that it is seditious, immoral orblasphemous, the publication thereof shall not be privileged.S 489.Whoeverpublishes, sells, or offersfor sale any blasphemous or obscene book, writing or representation, shallbe liable toimprisonment for two years: Provided that noone shall be convictedunder this section forpublishing any opinion on religious subjectsexpressed in good faith and in decent language, or for attempting toestablish by argumentsused in good faith andconveyed in decent language any opinion ona religious subject.","Provided that if the courtor commissionersprohibit the publicationof anything said orshown before it, on the ground that it is seditious, immoral orblasphemous, the publication thereof shall not be privileged.S 489.Whoeverpublishes, sells, or offersfor sale any blasphemous or obscene book, writing or representation, shallbe liable toimprisonment for two years: Provided that noone shall be convictedunder this section forpublishing any opinion on religious subjectsexpressed in good faith and in decent language, or for attempting toestablish by argumentsused in good faith andconveyed in decent language any opinion ona religious subject.","Provided that if the courtor commissionersprohibit the publicationof anything said orshown before it, on the ground that it is seditious, immoral orblasphemous, the publication thereof shall not be privileged.S 489.Whoeverpublishes, sells, or offersfor sale any blasphemous or obscene book, writing or representation, shallbe liable toimprisonment for two years: Provided that noone shall be convictedunder this section forpublishing any opinion on religious subjectsexpressed in good faith and in decent language, or for attempting toestablish by argumentsused in good faith andconveyed in decent language any opinion ona religious subject.","Provided that if the courtor commissionersprohibit the publicationof anything said orshown before it, on the ground that it is seditious, immoral orblasphemous, the publication thereof shall not be privileged.S 489.Whoeverpublishes, sells, or offersfor sale any blasphemous or obscene book, writing or representation, shallbe liable toimprisonment for two years: Provided that noone shall be convictedunder this section forpublishing any opinion on religious subjectsexpressed in good faith and in decent language, or for attempting toestablish by argumentsused in good faith andconveyed in decent language any opinion ona religious subject.","Provided that if the courtor commissionersprohibit the publicationof anything said orshown before it, on the ground that it is seditious, immoral orblasphemous, the publication thereof shall not be privileged.S 489.Whoeverpublishes, sells, or offersfor sale any blasphemous or obscene book, writing or representation, shallbe liable toimprisonment for two years: Provided that noone shall be convictedunder this section forpublishing any opinion on religious subjectsexpressed in good faith and in decent language, or for attempting toestablish by argumentsused in good faith andconveyed in decent language any opinion ona religious subject.","Provided that if the courtor commissionersprohibit the publicationof anything said orshown before it, on the ground that it is seditious, immoral orblasphemous, the publication thereof shall not be privileged.S 489.Whoeverpublishes, sells, or offersfor sale any blasphemous or obscene book, writing or representation, shallbe liable toimprisonment for two years: Provided that noone shall be convictedunder this section forpublishing any opinion on religious subjectsexpressed in good faith and in decent language, or for attempting toestablish by argumentsused in good faith andconveyed in decent language any opinion ona religious subject.",,,,,,,,
Barbados,"S 11. (1) Subject to this section, the publicationof any report or matterreferred to in the FirstSchedule shall be protected by qualifiedprivilege.(2) In an action fordefamation in respect ofthe publication of any report or matter referredto in PartI of the FirstSchedule, the provisions","S 11. (1) Subject to this section, the publicationof any report or matterreferred to in the FirstSchedule shall be protected by qualifiedprivilege.(2) In an action fordefamation in respect ofthe publication of any report or matter referredto in PartI of the FirstSchedule, the provisions","S 11. (1) Subject to this section, the publicationof any report or matterreferred to in the FirstSchedule shall be protected by qualifiedprivilege.(2) In an action fordefamation in respect ofthe publication of any report or matter referredto in PartI of the FirstSchedule, the provisions","S 11. (1) Subject to this section, the publicationof any report or matterreferred to in the FirstSchedule shall be protected by qualifiedprivilege.(2) In an action fordefamation in respect ofthe publication of any report or matter referredto in PartI of the FirstSchedule, the provisions","S 11. (1) Subject to this section, the publicationof any report or matterreferred to in the FirstSchedule shall be protected by qualifiedprivilege.(2) In an action fordefamation in respect ofthe publication of any report or matter referredto in PartI of the FirstSchedule, the provisions","S 11. (1) Subject to this section, the publicationof any report or matterreferred to in the FirstSchedule shall be protected by qualifiedprivilege.(2) In an action fordefamation in respect ofthe publication of any report or matter referredto in PartI of the FirstSchedule, the provisions","Defamation Act, ch.199,Laws of Barbados, 1997,S 11,https:/ /perma.cc/RLE3-FJSX.","Unenforced according to US StateDepartment 2022Report on InternationalReligious Freedom:Barbados,https:/ /perma.cc/DH5S-KBFR.",,,,,,
Country,Law,Law,Law,Law,Law,Law,Citation,Comment,,,,,,
,of this section shall not be a defence if it is proved that the defendant (a) has been requested by the plaintiff to publish at the defendant's expense and in such manner as is adequate or reasonable in the circumstances a reasonable letter or statement by way of explanation or contradiction; and (b) has refused or neglected to do so or has done so in a manner not adequate or not reasonable in the circumstances. (3) Nothing in this section shall be construed as protecting the publication of (a) any matter the publication of which is prohibited by law; (b) any matter which is not of public concern and the publication of which is not for the public benefit; or (c） any blasphemous or,of this section shall not be a defence if it is proved that the defendant (a) has been requested by the plaintiff to publish at the defendant's expense and in such manner as is adequate or reasonable in the circumstances a reasonable letter or statement by way of explanation or contradiction; and (b) has refused or neglected to do so or has done so in a manner not adequate or not reasonable in the circumstances. (3) Nothing in this section shall be construed as protecting the publication of (a) any matter the publication of which is prohibited by law; (b) any matter which is not of public concern and the publication of which is not for the public benefit; or (c） any blasphemous or,of this section shall not be a defence if it is proved that the defendant (a) has been requested by the plaintiff to publish at the defendant's expense and in such manner as is adequate or reasonable in the circumstances a reasonable letter or statement by way of explanation or contradiction; and (b) has refused or neglected to do so or has done so in a manner not adequate or not reasonable in the circumstances. (3) Nothing in this section shall be construed as protecting the publication of (a) any matter the publication of which is prohibited by law; (b) any matter which is not of public concern and the publication of which is not for the public benefit; or (c） any blasphemous or,of this section shall not be a defence if it is proved that the defendant (a) has been requested by the plaintiff to publish at the defendant's expense and in such manner as is adequate or reasonable in the circumstances a reasonable letter or statement by way of explanation or contradiction; and (b) has refused or neglected to do so or has done so in a manner not adequate or not reasonable in the circumstances. (3) Nothing in this section shall be construed as protecting the publication of (a) any matter the publication of which is prohibited by law; (b) any matter which is not of public concern and the publication of which is not for the public benefit; or (c） any blasphemous or,of this section shall not be a defence if it is proved that the defendant (a) has been requested by the plaintiff to publish at the defendant's expense and in such manner as is adequate or reasonable in the circumstances a reasonable letter or statement by way of explanation or contradiction; and (b) has refused or neglected to do so or has done so in a manner not adequate or not reasonable in the circumstances. (3) Nothing in this section shall be construed as protecting the publication of (a) any matter the publication of which is prohibited by law; (b) any matter which is not of public concern and the publication of which is not for the public benefit; or (c） any blasphemous or,of this section shall not be a defence if it is proved that the defendant (a) has been requested by the plaintiff to publish at the defendant's expense and in such manner as is adequate or reasonable in the circumstances a reasonable letter or statement by way of explanation or contradiction; and (b) has refused or neglected to do so or has done so in a manner not adequate or not reasonable in the circumstances. (3) Nothing in this section shall be construed as protecting the publication of (a) any matter the publication of which is prohibited by law; (b) any matter which is not of public concern and the publication of which is not for the public benefit; or (c） any blasphemous or,,,,,,,,
Country Belize,Law S 18. (1) Unless the,Law S 18. (1) Unless the,Law S 18. (1) Unless the,Law S 18. (1) Unless the,Law S 18. (1) Unless the,Law S 18. (1) Unless the,Citation,Comment,,,,,,
,"publication is proved to be made with malice, subject to the provisions NZQX. of this section, the publication in a news medium of any report or other matter mentioned in Part I and Part II of the Schedule, shall be privileged. (2) This section is not to be construed as (a) protecting the publication of any matter prohibited by law, or of any matter which is not of public concern and the publication of which is not for the public benefit;","publication is proved to be made with malice, subject to the provisions NZQX. of this section, the publication in a news medium of any report or other matter mentioned in Part I and Part II of the Schedule, shall be privileged. (2) This section is not to be construed as (a) protecting the publication of any matter prohibited by law, or of any matter which is not of public concern and the publication of which is not for the public benefit;","publication is proved to be made with malice, subject to the provisions NZQX. of this section, the publication in a news medium of any report or other matter mentioned in Part I and Part II of the Schedule, shall be privileged. (2) This section is not to be construed as (a) protecting the publication of any matter prohibited by law, or of any matter which is not of public concern and the publication of which is not for the public benefit;","publication is proved to be made with malice, subject to the provisions NZQX. of this section, the publication in a news medium of any report or other matter mentioned in Part I and Part II of the Schedule, shall be privileged. (2) This section is not to be construed as (a) protecting the publication of any matter prohibited by law, or of any matter which is not of public concern and the publication of which is not for the public benefit;","publication is proved to be made with malice, subject to the provisions NZQX. of this section, the publication in a news medium of any report or other matter mentioned in Part I and Part II of the Schedule, shall be privileged. (2) This section is not to be construed as (a) protecting the publication of any matter prohibited by law, or of any matter which is not of public concern and the publication of which is not for the public benefit;","publication is proved to be made with malice, subject to the provisions NZQX. of this section, the publication in a news medium of any report or other matter mentioned in Part I and Part II of the Schedule, shall be privileged. (2) This section is not to be construed as (a) protecting the publication of any matter prohibited by law, or of any matter which is not of public concern and the publication of which is not for the public benefit;","Defamation Act, 2022, No. 15 of 2022, $ 18, https:/ / perma.cc/A8C3-","Rarely enforced according to US State Department 2022 Report on International Religious Freedom: Belize, https:/ /perma.cc/JH Y6-4LBV. Replaced the Libel and Defamation Act, ch. 169,revised laws of Belize 2020, https:/ /perma.cc/5U UK-QBW6.",,,,,,
Act; or matter.,(b) limiting or abridging any privilege subsisting before the date of commencement of this (c) protecting the publication of blasphemous or obscene,(b) limiting or abridging any privilege subsisting before the date of commencement of this (c) protecting the publication of blasphemous or obscene,(b) limiting or abridging any privilege subsisting before the date of commencement of this (c) protecting the publication of blasphemous or obscene,(b) limiting or abridging any privilege subsisting before the date of commencement of this (c) protecting the publication of blasphemous or obscene,(b) limiting or abridging any privilege subsisting before the date of commencement of this (c) protecting the publication of blasphemous or obscene,(b) limiting or abridging any privilege subsisting before the date of commencement of this (c) protecting the publication of blasphemous or obscene,,,,,,,,
,"(3) Where a defendant relies on the defence of Qualified Privilege and the claimant intends to allege that the defendant was actuated by malice when the defamatory matter was published, the claimant shall serve a reply giving particulars","(3) Where a defendant relies on the defence of Qualified Privilege and the claimant intends to allege that the defendant was actuated by malice when the defamatory matter was published, the claimant shall serve a reply giving particulars","(3) Where a defendant relies on the defence of Qualified Privilege and the claimant intends to allege that the defendant was actuated by malice when the defamatory matter was published, the claimant shall serve a reply giving particulars","(3) Where a defendant relies on the defence of Qualified Privilege and the claimant intends to allege that the defendant was actuated by malice when the defamatory matter was published, the claimant shall serve a reply giving particulars","(3) Where a defendant relies on the defence of Qualified Privilege and the claimant intends to allege that the defendant was actuated by malice when the defamatory matter was published, the claimant shall serve a reply giving particulars","(3) Where a defendant relies on the defence of Qualified Privilege and the claimant intends to allege that the defendant was actuated by malice when the defamatory matter was published, the claimant shall serve a reply giving particulars",,,,,,,,
