DATE,MEETING TOPIC,ATTENDEES
06/30/15,"SWOT sent out to MQA management and employees","MQA management and employees"
07/15/15,"MQA Employee and management SWOT result analysis","Strategic Planning Services Team"
07/23/15,"Strategic Planning Retreat: discussed MQA's strategic focus aligned with DOH's strategic plan","Executive Management Team"
07/24/15,"Strategic plan draft development for five years","Executive Management Team, Strategic Planning Services Team"
07/24/15,"Strength, weaknesses, opportunities and threats (SWOT) analysis. Developed SWOT surveys","Executive Management Team, Strategic Planning Services Team"
08/12/15,"SWOT survey sent out to MQA management and board members","Executive Management Team, MQA Management, Strategic Planning Services Team, External Partners"
09/02/15,"External SWOT survey results analysis.","Strategic Planning Services Team"
09/23/15,"2nd Annual Healthiest Weight Liaison meeting","Executive Management Team, MQA Management, Strategic Planning Services Team, External Partners"
09/24/15,"Annual Board Chairs/ Vice Chairs Long-range Planning Meeting","See Appendix A"
09/30/15,"EMT Strategic Plan Development","Executive Management Team, MQA Management, Strategic Planning Services Team"
11/12/15,"Discussed new strategic plan format and assigned strategy managers","Executive Management Team, MQA Management, Strategic Planning Services Team"
