Classifier,Classifier,Classifier,Positive,Negative,Neutral,Mixed,Other language,Micro Avg,Macro Avg,Weighted Avg,,
KNNDecision Tree,KNNDecision Tree,KNNDecision Tree,0.63,0.04,0.10,0.02,0.61,0.45,0.28,0.45,,
KNNDecision Tree,KNNDecision Tree,KNNDecision Tree,0.83,0.21,0.13,0.12,0.54,0.61,0.36,0.61,,
Random Forest,Random Forest,Random Forest,0.98,0.18,0.09,0.04,0.55,0.68,0.32,0.68,,
Logistic RegressionNaive Bayes,Logistic RegressionNaive Bayes,Logistic RegressionNaive Bayes,0.98,0.13,0.06,0.01,0.32,0.68,0.30,0.68,,
Logistic RegressionNaive Bayes,Logistic RegressionNaive Bayes,Logistic RegressionNaive Bayes,Bayes,Bayes,1.00,0.01,0.00,0.01,0.18,0.66,0.24,0.67
SVM1DConv-LSTMDME,SVM1DConv-LSTMDME,SVM1DConv-LSTMDME,1.00,0.00,0.00,0.00,0.00,0.66,0.20,0.66,,
SVM1DConv-LSTMDME,SVM1DConv-LSTMDME,SVM1DConv-LSTMDME,0.91,0.11,0.00,0.10,0.28,0.63,0.28,0.63,,
SVM1DConv-LSTMDME,SVM1DConv-LSTMDME,SVM1DConv-LSTMDME,,0.99,0.03,0.02,0.01,0.49,0.67,0.31,0.57,
CDMEBERT Multilingual,CDMEBERT Multilingual,CDMEBERT Multilingual,0.990.99,0.010.00,0.03,0.00,0.52,0.67,0.31,0.67,,
CDMEBERT Multilingual,CDMEBERT Multilingual,CDMEBERT Multilingual,0.990.99,0.010.00,0.00,0.00,0.58,0.67,0.31,0.46,,
