Classifier,Positive,Negative,Neutral,Mixed,Other language,Micro Avg,Macro Avg,Weighted Avg
KNN,0.70,0.23,0.35,0.16,0.06,0.45,0.30,0.53
Decision Tree,0.71,0.30,0.24,0.17,0.60,0.61,0.40,0.56
Random Forest,0.69,0.51,0.80,0.41,0.68,0.68,0.62,0.63
Logistic Regression,0.68,0.56,0.61,0.36,0.76,0.68,0.59,0.62
Naive Bayes,0.66,0.62,0.00,0.40,0.69,0.66,0.48,0.59
SVM,0.66,0.00,0.00,0.00,0.00,0.66,0.13,0.43
1DConv-LSTM,0.71,0.30,0.00,0.14,0.67,0.63,0.36,0.54
DME,0.68,0.34,0.31,0.29,0.71,0.67,0.46,0.57
CDME,0.67,0.56,0.56,0.20,0.68,0.67,0.53,0.59
BERT Multilingual,0.67,0.00,0.00,0.00,0.64,0.67,0.26,0.46
