Classifier,Positive,Negative,Neutral,Mixed,Other language,Micro Avg,Macro Avg,Weighted Avg
KNN,0.63,0.04,0.10,0.02,0.61,0.45,0.28,0.45
Decision Tree,0.83,0.21,0.13,0.12,0.54,0.61,0.36,0.61
Random Forest,0.98,0.18,0.09,0.04,0.55,0.68,0.32,0.68
Logistic Regression,0.98,0.13,0.06,0.01,0.32,0.68,0.30,0.68
Naive Bayes,1.00,0.01,0.00,0.01,0.18,0.66,0.24,0.67
SVM,1.00,0.00,0.00,0.00,0.00,0.66,0.20,0.66
1DConv-LSTM,0.91,0.11,0.00,0.10,0.28,0.63,0.28,0.63
DME,0.99,0.03,0.02,0.01,0.49,0.67,0.31,0.57
CDME,0.99,0.01,0.03,0.00,0.52,0.67,0.31,0.67
BERT Multilingual,0.99,0.00,0.00,0.00,0.58,0.67,0.31,0.46
