Top On-Demand Songs YTD,Total On-DemandStreams (000),AudioRank,VideoRank,SongSalesRank,Radio Rank（Audience)
1.MARK RONSON FEAT.BRUNO MARSUPTOWNFUNK!,"285,647",#1,#1,#1,#1
2.ED SHEERANTHINKING OUT LOUD,"182,310",#2,#3,#2,#2
3.FETTY WAPTRAP QUEEN,"146,598",#8,#5,#16,#61
4.MAROON5SUGAR,"139,387",#4,#8,#3,#4
5.HozIERTAKEMETO CHURCH,"124,625",#5,#15,#5,#7
6.TAYLOR SWIFTSHAKE IT OFF,"119,401",NR,#2,#17,#24
7.WEEKNDEARNED IT (FIFTY SHADES OFGREY),"117,196",#3,#22,#8,#12
8.ELLIE GOULDINGLOVEMELIKEYOUDO,"112,895",#6,#21,#4,#6
9.TAYLOR SWIFTBLANK SPACE,"111,181",NR,#4,#9,#3
10.MEGHANTRAINORALL ABOUTTHAT BASS,"109,450",#38,#6,#25,#51
