Top On-Demand Songs YTD,Total On-Demand Streams (000),Audio Rank,Video Rank,Song Sales Rank,Radio Rank (Audience)
1. MARK RONSON FEAT. BRUNO MARS UPTOWN FUNK!,"285,647",#1,#1,#1,#1
2. ED SHEERAN THINKING OUT LOUD,"182,310",#2,#3,#2,#2
3. FETTY WAP TRAP QUEEN,"146,598",#8,#5,#16,#61
4. MAROON 5 SUGAR,"139,387",#4,#8,#3,#4
5. HOZIER TAKE ME TO CHURCH,"124,625",#5,#15,#5,#7
6. TAYLOR SWIFT SHAKE IT OFF,"119,401",NR,#2,#17,#24
7. WEEKND EARNED IT (FIFTY SHADES OF GREY),"117,196",#3,#22,#8,#12
8. ELLIE GOULDING LOVE ME LIKE YOU DO,"112,895",#6,#21,#4,#6
9. TAYLOR SWIFT BLANK SPACE,"111,181",NR,#4,#9,#3
10. MEGHAN TRAINOR ALL ABOUT THAT BASS,"109,450",#38,#6,#25,#51
