Rank,Artist,Title,Total Volume（000）,Album Share,Song SalesShare,On-DemandAudio StreamShare
1,TAYLOR SWIFT,1989,"1,608",67%,33%,0%
2,DRAKE,IF YOU'REREADINGTHIS,"1,250",71%,13%,16%
3,ED SHEERAN,x,"1,178",52%,36%,11%
4,SAM SMITH,INTHELONELY HOUR,"1,097",61%,27%,12%
5,SOUNDTRACK,50SHADES OFGREY,"1,031",61%,31%,8%
6,MEGHAN TRAINOR,TITLE,961,63%,30%,8%
7,MAROON5,v,762,40%,48%,12%
8,NICKI MINAJ,PINKPRINT,699,43%,38%,18%
9,KENDRICK LAMAR,TOPIMPABUTTERFLY,660,84%,5%,11%
10,FALL OUT BOY,AMERICAN BEAUTY...,632,65%,25%,10%
