Rank,Artist,Title,Total Volume (000),Album Share,Song Sales Share,On-Demand Audio Stream Share
1,TAYLOR SWIFT,1989,"1,608",67%,33%,0%
2,DRAKE,IF YOU'RE READING THIS,"1,250",71%,13%,16%
3,ED SHEERAN,X,"1,178",52%,36%,11%
4,SAM SMITH,IN THE LONELY HOUR,"1,097",61%,27%,12%
5,SOUNDTRACK,50 SHADES OF GREY,"1,031",61%,31%,8%
6,MEGHAN TRAINOR,TITLE,961,63%,30%,8%
7,MAROON 5,V,762,40%,48%,12%
8,NICKI MINAJ,PINKPRINT,699,43%,38%,18%
9,KENDRICK LAMAR,TO PIMP A BUTTERFLY,660,84%,5%,11%
10,FALL OUT BOY,AMERICAN BEAUTY...,632,65%,25%,10%
