2020,2019,2018
Revenue,,
"Transportation, terminaling and storage services – third parties",$,"$,$"
"Transportation, terminaling and storage services – related parties",282,"264,229"
Product revenue – third parties,—,"5,2"
Product revenue – related parties,19,"35,29"
Lease revenue – related parties,57,"56,56"
Total revenue,481,"503,525"
Costs and expenses,,
Operations and maintenance – third parties,48,"65,108"
Operations and maintenance – related parties,114,"59,54"
Cost of product sold,24,"36,32"
Loss (gain) from revision of ARO and disposition of fixed assets,—,"2,(3)"
General and administrative – third parties,7,"11,8"
General and administrative – related parties,49,"49,52"
"Depreciation, amortization and accretion",50,"49,46"
Property and other taxes,20,"17,16"
Total costs and expenses,312,"288,313"
Operating income,169,"215,212"
Income from equity method investments,417,"373,235"
Dividend income from other investments,—,"14,67"
Other income,40,"36,31"
"Investment, dividend and other income",457,"423,333"
Interest income,23,"4,2"
Interest expense,93,"96,64"
Income before income taxes,556,"546,483"
Income tax expense,—,"—,1"
Net income,556,"546,482"
Less: Net income attributable to noncontrolling interests,13,"18,18"
Net income attributable to the Partnership,$,"$,$"
Preferred unitholder’s interest in net income attributable to the Partnership,36,"—,—"
General partner’s interest in net income attributable to the Partnership,55,"147,134"
Limited Partners’ interest in net income attributable to the Partnership’s common unitholders,$,"$,$"
Net income per Limited Partner Unit - Basic and Diluted:,,
Common - basic,$,"1.28,$,1.66,$,1.50"
Common - diluted,$,"1.25,$,1.66,$,1.50"
Distributions per Limited Partner Unit,$,"1.8400,$,1.7500,$,1.4950"
Weighted average Limited Partner Units outstanding - Basic and Diluted:,,
Common units - public - basic,123.8,"123.8,121.3"
Common units - SPLC - basic,229.7,"105.4,99.0"
Common units - public - diluted,123.8,"123.8,121.3"
Common units - SPLC - diluted,267.9,"105.4,99.0"
