,Shell Pipeline Company LP,"Shell Midstream Partners,L.P.()",Chevron Pipe Line Company,Total
"Members’ capital at December 31, 2017","$ 481,100,958$",,"$ 451,634,508$","932,735,466"
"Net income before May 11, 2018","33,903,997",,"31,224,843","65,128,840"
"Cash distributions before May 11, 2018","(36,212,500)",,"(33,150,000)","(69,362,500)"
"Equity transfer on May 11, 2018","(478,792,455)","478,792,455",,
"Net income after May 11, 2018",,"80,300,000","76,170,357","156,470,357"
"Cash distributions after May 11, 2018",,"(104,400,000)","(97,037,500)","(201,437,500)"
"Members' capital at December 31, 2018",$,"$ 454,692,455$","428,842,208$","883,534,663"
Impact of change in accounting principle (2),,"(9,426,518)","(9,426,517)","(18,853,035)"
Net income,,"126,026,831","117,234,431","243,261,262"
Cash distributions,,"(147,142,310)","(137,306,170)","(284,448,480)"
"Members' capital at December 31, 2019",$,"$ 424,150,458","399,343,952$","823,494,410"
Net income,,"102,437,549","98,832,233","201,269,782"
Cash distributions,,"(146,075,000)","(132,825,000)","(278,900,000)"
"Members' capital at December 31, 2020",$,"380,513,007","$ 365,351,185$","745,864,192"
