Name and Principal,,,,Unit,Option,Non-Equity Incentive Compensation,Value and Nonqualified Deferred Compensation,All Other,
"Position ( Kevin M. Nichols,",2020,Salary,,Awards,Awards,Plan,Earnings,Compensation,
President and Chief,2019,,,,,,,,
Executive Officer,2018,,,,,,,,
"Shawn J. Carsten, Vice",2020,,,,,,,,
President and Chief,2019,,,,,,,,
Financial Officer,2018,,,,,,,,
"Lori M. Muratta, Vice",2020,,,,,,,,
"President, General",2019,,,,,,,,
Counsel and Secretary,2018,,,,,,,,
,2020,,,,,,,,
"Alton G. Smith, Vice",2019,,,,,,,,
"President, Operations (2)",2018,,,,,,,,
"Jesse C. H. Stanley,",2020,,,,,,,,
"Vice President,",2019,,,,,,,,
Operations (3)t,2018,,,,,,,,
"Steven C. Ledbetter,",2020,,,,,,,,
"Vice President,",2019,,,,,,,,
Commercial,2018,,,,,,,,
