Reconciliation of Adjusted EBITDA and Cash Available for Distribution to Net Cash Provided by Operating Activities,2020,2019,2018
Net cash provided by operating activities,$ 650,$ 597,$ 507
Add:,Interest income,(23),"(4),(2)"
Interest expense,93,96,64
Income tax expense,—,—,1
Return of investment,91,66,48
Less:,Change in deferred revenue and other unearned income,24,"(11),(4)"
Non-cash interest expense,1,1,1
Allowance oil reduction to net realizable value,8,1,5
Change in other assets and liabilities,(4),14,(19)
Adjusted EBITDA,782,750,635
Less:,Adjusted EBITDA attributable to noncontrolling interests,15,"20,19"
Adjusted EBITDA attributable to the Partnership,767,730,616
Less:,Series A Preferred Units distribution,36,"—,—"
Net interest paid by the Partnership,93,92,62
Income taxes paid attributable to the Partnership,—,—,—
Maintenance capex attributable to the Partnership,20,28,25
Add:,Principal and interest payments received on financing receivables,23,"—,—"
Net adjustments from volume deficiency payments attributable to the Partnership,17,(10),(4)
Reimbursements from Parent included in partners’ capital,—,19,11
Cash available for distribution attributable to the Partnership’s common unitholders,$ 658,$ 619,$ 536
