Reconciliation of Adjusted EBITDA and Cash Available for Distribution to Net Income,2020,2019,2018,2020,2019,2018
Net income,$ 556,$ 546,$ 482,556,546,482
Add:,Loss (gain) from revision of ARO and disposition of fixed assets,—,2,(3),—,"2,(3)"
Allowance oil reduction to net realizable value,8,1,5,8,1,5
"Depreciation, amortization and accretion",61,49,46,61,49,46
Interest income,(23),(4),(2),(23),(4),(2)
Interest expense,93,96,64,93,96,64
Income tax expense,—,—,1,—,—,1
Cash distribution received from equity method investments,541,466,301,541,466,301
Less:,Equity method distributions included in other income,37,33,24,37,"33,24"
Income from equity method investments,417,373,235,417,373,235
Adjusted EBITDA,782,750,635,782,750,635
Less:,Adjusted EBITDA attributable to noncontrolling interests,15,20,19,15,"20,19"
Adjusted EBITDA attributable to the Partnership,767,730,616,767,730,616
Less:,Series A Preferred Units distribution,36,—,—,36,"—,—"
Net interest paid by the Partnership,93,92,62,93,92,62
Income taxes paid attributable to the Partnership,—,—,—,—,—,—
Maintenance capex attributable to the Partnership,20,28,25,20,28,25
Add:,Principal and interest payments received on financing receivables,23,—,—,23,"—,—"
Net adjustments from volume deficiency payments attributable to the Partnership,17,(10),(4),17,(10),(4)
Reimbursements from Parent included in partners' capital,—,19,11,—,19,11
Cash available for distribution attributable to the Partnership’s common unitholders,$ 658,$ 619,$ 536,658,619,536
