ASSETS,2020,2019
Current assets,Cash and cash equivalents,"$ 10,670,102,$ 18,558,635"
Current assets,"Accounts receivable, net","Related parties,13,460,529,15,003,531"
Current assets,"Accounts receivable, net","Third parties,12,553,884,12,786,503"
Current assets,Materials and supplies inventory,"5,019,639,5,019,639"
Current assets,"Allowance oil, net","1,597,244,2,606,822"
Current assets,Other current assets,"294,086,2,156,799"
Current assets,Total current assets,"43,595,484,56,131,929"
"Property, plant and equipment","1,093,245,582","1,086,231,821"
"Property, plant and equipment",Accumulated depreciation,"(340,805,486),(287,799,348)"
"Property, plant and equipment","Property, plant and equipment, net","752,440,096,798,432,473"
"Property, plant and equipment","Operating lease right of use assets - related party, net","38,973,934,—"
"Property, plant and equipment","Operating lease right of use assets - third party, net","2,566,753,—"
"Property, plant and equipment","Finance lease right of use assets - related party, net","37,987,690,—"
"Property, plant and equipment",Prepaid and other deferred charges,"4,387,855,4,704,523"
"Property, plant and equipment",Advance for operations due from related party,"300,000,300,000"
"Property, plant and equipment",Total assets,"880,251,812,859,568,925"
