($ in millions),2020,2020,2020,2020
Statement of Income,As Reported Under Topic 606,Amounts Without Adoption of Topic 606,,Effect of Change Increase/(Decrease)
Revenue,,,,
Operating revenue - related partis,$,155.1 $,160.7 $,(5.6)
Operating revenue - third parties,,121.3,127.6,(6.3)
Product revenue - related parties,,3.7,(0.3),4.0
Costs and expenses,,,,
Operations and maintenance,,13.9,13.9,
Cost of product sold,,7.9,4.0,3.9
Net loss on pipeline operations,,,2.4,(2.4)
Net income,$,201.2$,210.6 $,(9.4)
