,Three Months Ended,,,,General Partner,General Partner,General Partner,Distributions per Limited Partner Unit
,Three Months Ended,Public Common,SPLC Preferred,_SPLC Common,IDRs,2%,Total,Distributions per Limited Partner Unit
Date Paid or to be Paid,,,,"(in millions, except per unit amounts)",,,,
"February 14, 2018","December 31, 2017",$ 33 $,$,30 $,18$,2 $,83 $,0.33300
"May 15, 2018","March 31, 2018",43,,35,26,2,106,0.34800
"August 14, 2018","June 30, 2018",46,,36,29,2,113,0.36500
"November 14, 2018","September 30, 2018",47,,38,33,3,121,0.38200
"February 14, 2019","December 31, 2018",49,,40,37,3,129,0.40000
"May 15,2019","March 31, 2019 (",51,,42,23,3,119,0.41500
"August 14, 2019","June 30, 2019 (l)",53,,47,28,3,131,0.43000
"November 14,2019","September 30, 2019 (l)",56,,48,33,3,140,0.44500
"February 14, 2020","December 31, 2019",57,,50,52,3,162,0.46000
"May 15,2020","March 31, 2020",57,,50,52 (3),3（4),162,0.46000
"August 14, 2020","June 30,2020 (2)",57,12,104,,,173,0.46000
"November 13, 2020","September 30,2020 (2)",57,12,104,,,173,0.46000
"February 12, 2021","December 31, 2020 (2)(5)",57,12,104,,,173,0.46000
