Signature,Title
/s/Kevin M.Nichols,"Director,President and Chief Executive Officer"
KevinM.Nichols,Shell Midstream Partners GP LLC (principal executive officer)
,"Director,Vice President"
/s Shawn J. Carsten Shawn J. Carsten,and Chief Financial Officer Shell Midstream Partners GP LLC
/s/Paul R.A. Goodfellow,(principal accounting officer and principal financial officer) Chairman of the Board ofDirectors
Paul R.A. Goodfellow,Shell Midstream Partners GPLLC
/s/Rob L. Jones,Director
Rob L.Jones,Shell Midstream Partners GPLLC
/s/James J.Bender,Director
James J.Bender,Shell Midstream Partners GP LLC
/s/Carlos A.Fierro,
Carlos A. Fierro,Director Shell Midstream Partners GP LLC
/s/Anne C.Anderson,
Anne C. Anderson,Director Shell Midstream Partners GPLLC
/s/David A. Connolly,Director
David A. Connolly,Shell Midstream Partners GP LLC
