,2020,2019,2018
Transportation services revenue - third parties,$ 114 $,134$,200
Transportation services revenue - related parties (l),164,210,176
Storage services revenue - third parties,9,9,9
Storage services revenue - related parties,8,7,7
Terminaling services revenue - related parties (2),103,47,46
Terminaling services revenue - major maintenance service - related parties (3),7,,
Product revenue - third parties (4),,5,2
Product revenue - related parties (4),19,35,29
Total Topic 606 revenue,424,447,469
Lease revenue - related parties,57,56,56
Total revenue,$ 481,$ 503 $,525
