Net income,2020,2019,2018
Depreciation and amortization,"10,057,404","10,004,993","9,998,461"
Net gain on pipeline operations,"-854,450","-596,967","-4,142,396"
(Increase) decrease in accounts receivable - related parties,"6,007,485","-2,137,737","-721,103"
(Increase) decrease in accounts receivable - third parties,"-583,970","-552,649","-1,563,301"
"(Increase) decrease in materials and supplies inventory and allowance oil, net","2,644,205","6,228,033","-8,493"
(Increase) decrease in other assets,"-3,521,746","-1,756,378","-2,221,159"
Increase (decrease) in deferred revenue,"-5,272,986","4,513,750","8,742,574"
"Increase (decrease) in accounts payable, accrued and other liabilities - related parties","-165,921","1,601,450","457,713"
"Increase (decrease) in accounts payable, accrued and other liabilities - third parties","-1,046,642","309,921","-182,547"
Net cash provided by operating activities,"169,851,157","197,096,447","164,278,781"
Capital expenditures,"-204,044","-541,035","-570,711"
Net cash used in investing activities,"-204,044","-541,035","-570,711"
Distributions to members,"-172,300,000","-187,410,000","-166,800,000"
Net cash used in financing activities,"-172,300,000","-187,410,000","-166,800,000"
(Decrease) increase in cash and cash equivalents,"-2,652,887","9,145,412","-3,091,930"
Cash and cash equivalents at the beginning of the period,"29,348,638","20,203,226","23,295,156"
Cash and cash equivalents at the end of the period,"26,695,751","29,348,638","20,203,226"
Change in accrued capital expenditures,"638,799","-440,708","-36,739"
