Current liabilities,Current liabilities,Current liabilities
Accounts payable and accrued liabilities,"$ 1,197,543$","57,128"
Payable to related parties,"1,084,454","3,566,311"
Current operating lease liability - related party,"1,148,752",
Current operating lease liability - third party,"122,027",
Current finance lease liability - related party,"1,259,427",
Current asset retirement obligation,"5,000,000",
Other current liabilities,"167,757","167,757"
Total current liabilities,"9,979,960","3,791,196"
Noncurrent operating lease liability - related party,"36,260,260",
Noncurrent operating lease liability - third party,"2,319,206",
Noncurrent finance lease liability - related party,"37,223,106",
Noncurrent asset retirement obligation,"2,000,000",
Long-term liabilities and deferred revenue,"46,605,088","32,283,319"
Commitments and contingencies (Notes 11),,
Members’capital,"745,864,192","823,494,410"
Total liabilities and members’ capital,"880,251,812 $","859,568,925"
