Revenue,2020,2019,2018
Operating revenue – related parties,"$ 187,321,454","$ 197,531,039","$ 167,277,925"
Operating revenue – third parties,"64,899,257","65,326,677","62,225,748"
Product revenue – related parties,"6,522,070","18,867,918","11,801,170"
Total revenue,"258,742,781","281,725,634","241,304,843"
Costs and expenses,Operations and maintenance - related parties,"70,643,947","69,312,076,62,367,290"
Operations and maintenance - third parties,"1,549,459","1,429,885","796,798"
Cost of product sold,"7,086,632","14,686,124","11,128,238"
General and administrative - related parties,"4,938,092","6,047,989","4,578,286"
General and administrative - third parties,"152,938","112,643","246,267"
Depreciation and amortization,"10,057,404","10,004,993","9,998,461"
Property taxes,"2,737,450","2,551,078","2,427,553"
Net gain from pipeline operations,"(854,450)","(596,967)","(4,142,396)"
Total costs and expenses,"96,311,472","103,547,821","87,400,497"
Operating income,"162,431,309","178,177,813","153,904,346"
Interest income,"156,469","1,304,218","14,686"
Net income,"$ 162,587,778","$ 179,482,031","$ 153,919,032"
