Pipeline System/Terminal System,Approximate Capacity (kbpd) (2),Approximate Tank Storage Capacity （kbls）
Onshore Crude Oil Pipelines,,
Zydeco crude oil system - Mainlines,,
Houston to Port Neches,250,
Port Neches to Houma,375,
Houma to Clovelly,425,
Houma to St James,270,
Delta crude oil system,420,
Offshore Crude Oil Pipelines,,
Amberjack crude oil system,,
Jack St. Malo,200,
Tahiti,300,
"ADP 24""",300,
Jackalope Genesis,200,
,50,
Ewing Banks 910,20,
Auger crude oil system,,
Enchilada Platform to Eugene Island 315,35,
Enchilada Platform to Ship Shoal 28P,200,
"14/16"" Auger export line",150,
Na Kika crude oil system,160,
Mars crude oil system (l),,
Mars TLP to West Delta 143,100,
Olympus TLP to West Delta 143,100,
West Delta 143 to Fourchon,400,
Fourchon to Clovelly,600,
Poseidon crude oil system,350,
Odyssey crude oil system,220,
Mattox crude oil system,300,
Proteus crude oil system,,
Thunder Horse TLP to South Pass 89E,425,
Endymion crude oil system,,
South Pass 89E to Clovelly,425,
Refined Products Pipelines Bengal product system,,
Norco to Baton Rouge tank farm,,
Colonial product system,305,
Explorer product system,"2,500",
,660,
Terminals and Storage,,
Triton refined products terminals (2),,
Anacortes,,
Colex,,
Des Plaines,,"2,585"
,,"1,060"
Portland,,405
Seattle,,520
Norco Assets (3),,"10,800"
Lockport terminal system,,2.000
Other Midstream Assets,,
Refinery Gas Pipelines (4),,
Houston Ship Channel,,
Texas City,"3,960",
Garyville - Norco,"5,280",
,"3,720",
Convent to Garyville (5),"3,840",
Norco - Paraffinic,"3,720",
Permian Basin gas gathering system (4),240,
LOCAP pipeline system and storage facility,"1,700","3,200"
Cleopatra gas gathering system (4),500,
Atlantis TLP to Ship Shoal 332A,Atlantis TLP to Ship Shoal 332A,
