Partnership,Preferred Unitholder SPLC,Common Unitholders Public,Common Unitholder SPLC,General Partner SPLC,Financing Receivables,Accumulated Other Comprehensive Loss,Noncontrolling Interests,Total
"Balance as of December 31, 2017",$,"$ 2,774",$ (507),"$ (2,856)",$,$,$ 23,$ (566)
Impact of change in accounting policy (Note 12),$,$ (1),$ 1,$ (2),$,$,$,$ (2)
Net income,$,$ 182,$ 147,$ 135,$,$,$,$ 482
Net proceeds from equity offerings,$,$ 673,$ 300,$,$,$,$,$ 973
Contributions from general partner,$,$,$,$ 20,$,$,$,$ 20
Other contributions from Parent,$,$,$,$ 13,$,$,$,$ 13
Distributions to unitholders and general partner,$,$ (169),$ (139),$ (115),$,$,$,$ (423)
Distribution to noncontrolling interests,$,$,$,$,$,$,$ (16),$ (16)
May 2018 Acquisition,$,$,$,$ (738),$,$,$,$ (738)
"Balance as of December 31, 2018",$,"$ 3,459",$ (198),"$ (3,543)",$,$,$ 25,$ (257)
Impact of change in accounting policy (Note 5),$,$ (4),$ (5),$,$,$,$,$ (9)
Net income,$,$ 204,$ 177,$ 147,$,$,$,$ 546
Other contributions from Parent,$,$,$,$ 25,$,$ (6),$,$ 19
Other comprehensive loss,$,$,$,$,$,$ (2),$,$ (2)
Distributions to unitholders and general partner,$,$ (209),$ (177),$ (133),$,$,$,$ (519)
Distributions to noncontrolling interests,$,$,$,$,$,$,$,$ (17)
June 2019 Acquisition,$,$,$,$ (510),$,$,$,$ (510)
"Balance as of December 31, 2019",$,"$ 3,450",$ (203),"$ (4,014)",$,$ (8),$ 26,$ (749)
Net income,$ 36,$ 160,$ 292,$ 55,$,$,$,$ 556
Other contributions from Parent,$,$,$ 2,$,$,$,$,$ 2
Other comprehensive income,$,$,$,$,$,$ (1),$,$ (1)
Distributions to unitholders and general partner,$ (24),$ (228),$ (308),$ (110),$,$,$,$ (670)
Distributions to noncontrolling interests,$,$,$,$,$,$,$,$ (16)
Principal repayments on financing receivables,$,$,$,$,$ 3,$,$,$ 3
April 2020 Transaction,"$ (1,071)",$,"$ (2,280)","$ 4,069",$ (301),$,$,$ 417
"Balance as of December 31, 2020","$ (1,059)","$ 3,382","$ (2,497)",$,$ (298),$ (9),$ 23,$ (458)
