ASSETS,ASSETS,"December31, 2020",2019,
ASSETS,ASSETS,,,
ASSETS,ASSETS,(in millions of dollars),(in millions of dollars),(in millions of dollars)
Current assets,Current assets,Current assets,,
Cash and cash equivalents,Cash and cash equivalents,$ 320$,290,
"Accounts receivable - third parties, net","Accounts receivable - third parties, net",20,12,
Accounts receivable - related parties,Accounts receivable - related parties,21,29,
Allowance oil,Allowance oil,9,12,
Prepaid expenses,Prepaid expenses,24,16,
Total current assets,Total current assets,394,359,
Equity method investments,Equity method investments,"1,013",926,
"Property, plant and equipment, net","Property, plant and equipment, net",699,726,
Operating lease right-of-use assets,Operating lease right-of-use assets,4,4,
Other investments,Other investments,2,2,
Contract assets - related parties,Contract assets - related parties,233,,
Other assets - related parties,Other assets - related parties,2,2,
Total assets,Total assets,"2,347$","2,019",
$ LIABILITIES,$ LIABILITIES,,,
Current liabilities,Current liabilities,$,,
Accounts payable -third parties,Accounts payable -third parties,5$,5,
Accounts payable -related parties,Accounts payable -related parties,16,10,
Deferred revenue - third parties,Deferred revenue - third parties,4,,
Deferred revenue - related parties,Deferred revenue - related parties,19,,
Accrued liabilities-third parties,Accrued liabilities-third parties,10,12,
Accrued liabilities -related parties,Accrued liabilities -related parties,28,19,
Total current liabilities,Total current liabilities,82,46,
Noncurrent liabilities,Noncurrent liabilities,,,
Debt payable - related party,Debt payable - related party,"2,692","2,692",
Operating lease liabilities,Operating lease liabilities,4,4,
Finance lease liabilities,Finance lease liabilities,24,24,
Deferred revenue and other unearned income,Deferred revenue and other unearned income,3,2,
Total noncurrent liabilities,Total noncurrent liabilities,2.723,"2,722",
Total liabilities,Total liabilities,"2.,805","2,768",
Commitments and Contingencies (Note 15),Commitments and Contingencies (Note 15),,,
"(DEFICIT) EQUITY Preferred unitholders (50,782,904 and 0 units issued and outstanding as of December 31,2020 and December","(DEFICIT) EQUITY Preferred unitholders (50,782,904 and 0 units issued and outstanding as of December 31,2020 and December",,,
"31, 2019)","31, 2019)","(1,059)",,
"Common unitholders - public (123,832,233 units issued and outstanding as of both December 31, 2020 and December 31, 2019)","Common unitholders - public (123,832,233 units issued and outstanding as of both December 31, 2020 and December 31, 2019)","3,382","3,450",
"Common unitholder-SPLC (269,457,304 and 109,457,304 units issued and outstanding as of December 31, 2020 and December 31,2019)","Common unitholder-SPLC (269,457,304 and 109,457,304 units issued and outstanding as of December 31, 2020 and December 31,2019)","(2,497)",(203),
"General partner- SPLC (0 and 4,761,012 units issued and outstanding as of December 31,2020 and December31,2019)","General partner- SPLC (0 and 4,761,012 units issued and outstanding as of December 31,2020 and December31,2019)",,"(4,014)",
Financing receivables -related parties,Financing receivables -related parties,(298),,
Accumulated other comprehensive loss,Accumulated other comprehensive loss,(9),(8),
Total partners’deficit,Total partners’deficit,(481),(775),
Noncontrolling interests,Noncontrolling interests,23,26,
Total deficit,Total deficit,(458),（749),
Total liabilities and deficit $,Total liabilities and deficit $,"2,347 $",2.019,
