Leases,Classification,"December 31,2020",,"December 31,2019"
Assets,Assets,Assets,Assets,Assets
Operating lease assets,Operating lease right-of-use assets,$,4$,4
Finance lease assets,"Property, plant and equipment, net (1)",,16,17
Total lease assets,,$,20s,21
Liabilities,,,,
Current,Accrued liabilities - third parties,$,,
Finance,Finance,Finance,Finance,Finance
Noncurrent,,,,
Operating,Operating lease liabilities,,4,4
Finance,Finance lease liabilities,,24,24
Total lease liabilities,Total lease liabilities,$,29,29
