ASSETS,2020,2019
Current assets,,
Cash and cash equivalents,"$ 10,670,102","$ 18,558,635"
"Accounts receivable, net","Related parties,13,460,529","Related parties,15,003,531"
"Accounts receivable, net","Third parties,12,553,884","Third parties,12,786,503"
Materials and supplies inventory,"5,019,639","5,019,639"
"Allowance oil, net","1,597,244","2,606,822"
Other current assets,"294,086","2,156,799"
Total current assets,"43,595,484","56,131,929"
"Property, plant and equipment","1,093,245,582","1,086,231,821"
Accumulated depreciation,"(340,805,486)","(287,799,348)"
"Property, plant and equipment, net","752,440,096","798,432,473"
"Operating lease right of use assets - related party, net","38,973,934",
"Operating lease right of use assets - third party, net","2,566,753",
"Finance lease right of use assets - related party, net","37,987,690",
Prepaid and other deferred charges,"4,387,855","4,704,523"
Advance for operations due from related party,"300,000","300,000"
Total assets,"880,251,812","$ 859,568.925"
