Name of Beneficial Owner (1),Common Units Beneficially Owned,Percentage of Common Units Beneficially Owned
Shell Pipeline Company LP (2),269457304,68.5 %
James J. Bender,35000,"—"" ""%"
Rob L. Jones,30000,"—"" ""%"
Shawn J. Carsten,15500,"—"" ""%"
Lori M. Muratta (3),15270,"—"" ""%"
Kevin M. Nichols,8500,"—"" ""%"
Alton G. Smith,5000,"—"" ""%"
Carlos A. Fierro,3000,"—"" ""%"
Anne C. Anderson,,"—"" ""%"
Jesse C. H. Stanley,,"—"" ""%"
Paul R. A. Goodfellow,,"—"" ""%"
Steven C. Ledbetter,,一%
David A. Connolly,"1000 Main Level 12, Houston, TX 77002","—"" ""%"
Directors and executive officers as a group (12 persons),112270,"—"" ""%"
