Name,Age,Position with Shell Midstream Partners GP LLC
Paul R. A. Goodfellow,55,"Director, Chairman of the Board of Directors"
Kevin M. Nichols (1),53,"Director, Chief Executive Officer and President"
Shawn J. Carsten,54,"Director, Vice President and Chief Financial Officer"
Lori M. Muratta,55,"Vice President, General Counsel and Secretary"
Jesse C. H. Stanley (2),36,"Vice President, Operations"
Steven C. Ledbetter (1),45,"Vice President, Commercial"
Sean Guillory (3),48,"Vice President, Commercial"
James J. Bender,64,Director
Carlos A. Fierro,59,Director
Rob L. Jones,,62 Director
Anne C. Anderson (4),51,Director
David A. Connolly (5),46,Director
