,2020,2019,2019,2018
,(in millions of dollars),(in millions of dollars),(in millions of dollars),(in millions of dollars)
Net income,556$,556$,556$,556$
"Other comprehensive loss, net of tax:","Other comprehensive loss, net of tax:","Other comprehensive loss, net of tax:","Other comprehensive loss, net of tax:","Other comprehensive loss, net of tax:"
Remeasurements of pension and other postretirement benefits related to equity method,,,,
"investments, net of tax $",(1),,(2) 544,
Comprehensive income,,555,,482
Less comprehensive income atributable to:,,,,
Noncontrolling interests,,542 $,18,18
Comprehensive income attributable to the Partnership,,,526$,464
