,"Shell Midstream Partners,L.P.",BP Midstream Partners LP,Total
"Members’ capital at December 31, 2017","$ 164,475,812","$ 65,560,290$","230,036,102"
Impact of change in accounting policy(l),"(6,888,196)","(2,745,645)","(9,633,841)"
Net income,"110,052,108","43,866,924","153,919,032"
Cash distributions,"(119,262,000)","(47,538,000)","(166,800,000)"
"Members' capital at December 31, 2018","$ 148,377,724$","59,143,569","$ 207,521,293"
Net income,"128,329,652","51,152,379","179,482,031"
Cash distributions,"(133,998,150)","(53,411,850)","(187,410,000)"
"Members' capital at December 31, 2019","$ 142,709,226$","56,884.098$","199,593,324"
Net income,"116,250,261","46,337,517","162,587,778"
Cash distributions,"(123,194,500)","(49,105,500)","(172,300,000)"
"Members’ capital at December 31, 2020","$ 135,764,987","$ 54,116,115","$ 189,881,102"
