Name of Beneficial Owner(l),Common Units Beneficially Owned,Percentage of Common Units Beneficially Owned
Shell Pipeline Company LP (2),"269,457,304",68.5 %
James J. Bender,"35,000",一%
Rob L. Jones,"30,000",%
Shawn J. Carsten,"15,500",-%
Lori M. Muratta (3),"15,270",%
Kevin M. Nichols,"8,500",%
Alton G. Smith,"5,000",%
Carlos A. Fierro,"3,000",%
Anne C. Anderson,,%
Jesse C. H. Stanley,,%
Paul R. A. Goodfellow,,%
Steven C. Ledbetter,,一%
David A. Connolly,,
"1000 Main Level 12, Houston, TX 77002 Directors and executive officers as a group (12 persons)","112,270",% 1%
