Pipeline throughput (thousands of barrels per day),2020,2019,2018
Zydeco - Mainlines,577,657,623
Zydeco - Other segments,142,267,249
Zydeco total system,719,924,872
Amberjack total system,326,362,324
Mars total system,490,546,516
Bengal total system,429,511,539
Poseidon total system,290,265,235
Auger total system,74,77,58
Delta total system,211,258,228
Na Kika total system,40,39,42
Odyssey total system,119,145,115
Colonial total system,"2,349","2,617","2,616"
Explorer total system,474,650,649
Mattox total system,71,62,N/A
LOCAP total system,960,"1,172","1,228"
Other systems,427,348,344
