Revenue,2020,2019,2018
Revenue,,,
Operating revenue - related parties,"155,104,657 $","175,023,100 $","166,264,591"
Operating revenue - third parties,"121,333,319","135,687,795","128,604,011"
Product revenue - related parties,"3,683,029","4,076,886",
Total revenue,"280,121,005","314,787,781","294,868,602"
Operating costs and expenses,,,
Operations and maintenance - related parties,"13,439,720","17,001,274","17,233,252"
Operations and maintenance - third parties,"521,094","1,074,034","316,173"
Cost of product sold,"7,945,144","3,901,004",
General and administrative - related parties,"1,631,040","6,330,437","8,471,315"
General and administrative - third parties,"108,436","356,933","275,685"
Depreciation and amortization,"54,486,612","42,903,834","42,842,469"
Property taxes,"91,919","170,112",52.091
Net gain on disposition of asset,"(217,021)",,
Net loss on pipeline operations,,"1,327,826","4,257,575"
Total costs and expenses,"78,006,944","73,065,454","73,448,560"
Operating income,"202,114,061","241,722,327","221,420,042"
Other income,"167,756","167,756","167,756"
Interest (expense) income,"(1,012,035)","1,371,179","11,399"
Net income,"201,269,782$","243,261,262","221,599,197"
