Margin of,Margin of,Margin of
,Sample size,error in percentage points
U.S. adults,"4,914",+/-2.7
Has a STEM job,2344,+/-2.8
Does not have a STEM job,2358,+/-2.3
Not working,212,+/-7.1
Among those in STEM jobs,,
Men,1119,+/-4.1
Women,1225,+/-3.9
White,1845,+/-3.1
Black,114,+/-11.4
Hispanic,167,+/-10.4
Asian,138,+/-10.0
Men in computer jobs,445,+/-6.4
Women in computer jobs,150,+/-10.6
Women with a postgraduate degree,368,+/-7.2
Women with a college degree,479,+/-6.3
Women with some college or less,378,+/-6.7
Women who work with mostly men,208,+/-9.4
Women who work with mostly women,719,+/-5.1
Women who work with an even mix of men and women,290,+/-8.0
Among those in non-STEM jobs,,
Men,1239,+/-3.2
Women,1119,+/-3.4
White,1642,+/-2.7
Black,206,+/-7.5
Hispanic,329,+/-6.0
